#t	#1	#2	#3	#4
0.0	0.0	0.0	0.0	0.0
4.0	-1.5980688271531132e-21	-1.827572867931749e-21	0.0	-1.5980688271531132e-21
8.0	-1.8013567344941456e-20	4.4610093795804845e-19	0.0	-1.8013567344941456e-20
12.0	-2.632578400066366e-20	-1.5904532550358972e-19	0.0	-2.632578400066366e-20
16.0	-2.2076168025007738e-21	-2.702191647899335e-18	0.0	-2.2076168025007738e-21
20.0	1.4109085504618154e-19	-2.299490336951988e-18	0.0	1.4109085504618154e-19
24.0	6.103910893031485e-19	3.023170468612947e-18	0.0	6.103910893031485e-19
28.0	7.368188730515958e-19	1.6925052672217133e-18	0.0	7.368188730515958e-19
32.0	7.115049973607888e-19	-2.1909293304822787e-17	0.0	7.115049973607888e-19
36.0	1.2847297584930578e-18	-5.741704367878884e-17	0.0	1.2847297584930578e-18
40.0	1.4819829204904279e-18	-9.01934286393729e-17	0.0	1.4819829204904279e-18
44.0	7.782638835540677e-19	-1.291328945327164e-16	0.0	7.782638835540677e-19
48.0	3.986563050072634e-19	-1.7381523129522202e-16	0.0	3.986563050072634e-19
52.0	1.1489441855978688e-18	-2.1639651773974147e-16	0.0	1.1489441855978688e-18
56.0	1.9839568989517696e-18	-2.5617640376027946e-16	0.0	1.9839568989517696e-18
59.99999999999999	1.8020193173076963e-18	-2.8699180842407637e-16	0.0	1.8020193173076963e-18
64.0	1.7388343976282993e-18	-2.931548893568358e-16	0.0	1.7388343976282993e-18
68.0	2.2377895674522e-18	-2.813890075761133e-16	0.0	2.2377895674522e-18
72.0	3.550594109092858e-18	-2.799883073641225e-16	0.0	3.550594109092858e-18
76.0	5.9850583691333315e-18	-2.8587124825448375e-16	0.0	5.9850583691333315e-18
80.0	8.478755756038452e-18	-2.7354508638896497e-16	0.0	8.478755756038452e-18
84.0	1.0673797461256221e-17	-2.332049202836307e-16	0.0	1.0673797461256221e-17
88.0	1.2250420175861994e-17	-1.6933299061685145e-16	0.0	1.2250420175861994e-17
92.0	1.2967519929196635e-17	-8.809237832138681e-17	0.0	1.2967519929196635e-17
96.0	1.2666989108289087e-17	5.474395839596855e-18	0.0	1.2666989108289087e-17
100.0	1.1249628265605745e-17	1.0800565135732118e-16	0.0	1.1249628265605745e-17
104.0	8.648338636500011e-18	2.166999878078052e-16	0.0	8.648338636500011e-18
108.0	4.828974187027682e-18	3.253943242582892e-16	0.0	4.828974187027682e-18
112.0	-1.6033151787223917e-19	4.2848585986081017e-16	0.0	-1.6033151787223917e-19
116.00000000000001	-6.21050960780378e-18	5.226129141065902e-16	0.0	-6.21050960780378e-18
119.99999999999999	-1.3193577234757509e-17	6.066549268260361e-16	0.0	-1.3193577234757509e-17
124.0	-2.0968587663102212e-17	6.828530183583342e-16	0.0	-2.0968587663102212e-17
128.0	-2.94240728626254e-17	7.534483090426691e-16	0.0	-2.94240728626254e-17
132.0	-3.849884935530344e-17	8.178805187942447e-16	0.0	-3.849884935530344e-17
136.0	-4.811897097582296e-17	8.739085272738757e-16	0.0	-4.811897097582296e-17
140.0	-5.817559010327865e-17	9.23773454820747e-16	0.0	-5.817559010327865e-17
144.0	-6.859650091199856e-17	9.67475301434859e-16	0.0	-6.859650091199856e-17
148.0	-7.932000370166164e-17	1.007255187455397e-15	0.0	-7.932000370166164e-17
152.0	-9.030492897411131e-17	1.0464747933911386e-15	0.0	-9.030492897411131e-17
156.0	-1.0153972245388916e-16	1.0856943993268803e-15	0.0	-1.0153972245388916e-16
160.0	-1.1302875392365083e-16	1.1260345654322144e-15	0.0	-1.1302875392365083e-16
164.0	-1.247992239469874e-16	1.1697364120463265e-15	0.0	-1.247992239469874e-16
