# (1)t	# (2) P[4<--1](t)	# (3) P[4<--2](t)	# (4) P[4<--3](t)	# (5) P[4<--4](t)
400.0	0.0	-0.07257275225	0.1986896964	0.0
404.0	0.0	-0.07426069681	0.201646728	0.0
408.0	0.0	-0.0759654698	0.2046100123	0.0
412.0	0.0	-0.07768693002	0.2075793853	0.0
416.0	0.0	-0.07942493604	0.2105546874	0.0
420.0	0.0	-0.0811793462	0.213535763	0.0
424.0	0.0	-0.08295001868	0.2165224606	0.0
428.0	0.0	-0.08473681157	0.2195146328	0.0
432.0	0.0	-0.08653958289	0.2225121359	0.0
436.0	0.0	-0.08835819069	0.2255148302	0.0
440.0	0.0	-0.09019249306	0.2285225794	0.0
444.0	0.0	-0.0920423482	0.2315352509	0.0
448.0	0.0	-0.09390761443	0.2345527156	0.0
452.0	0.0	-0.09578815028	0.2375748477	0.0
456.0	0.0	-0.09768381451	0.2406015248	0.0
460.0	0.0	-0.09959446614	0.2436326277	0.0
464.0	0.0	-0.1015199645	0.2466680403	0.0
468.0	0.0	-0.1034601693	0.2497076495	0.0
472.0	0.0	-0.1054149406	0.2527513452	0.0
476.0	0.0	-0.1073841388	0.2557990202	0.0
480.0	0.0	-0.1093676249	0.2588505702	0.0
484.0	0.0	-0.1113652603	0.2619058935	0.0
488.0	0.0	-0.1133769069	0.2649648911	0.0
492.0	0.0	-0.1154024271	0.2680274666	0.0
496.0	0.0	-0.1174416839	0.2710935262	0.0
500.0	0.0	-0.119494541	0.2741629785	0.0
504.0	0.0	-0.1215608625	0.2772357346	0.0
508.0	0.0	-0.1236405133	0.2803117076	0.0
512.0	0.0	-0.1257333589	0.2833908133	0.0
516.0	0.0	-0.1278392655	0.2864729695	0.0
520.0	0.0	-0.1299580999	0.2895580961	0.0
524.0	0.0	-0.1320897297	0.2926461152	0.0
528.0	0.0	-0.1342340232	0.295736951	0.0
532.0	0.0	-0.1363908497	0.2988305295	0.0
536.0	0.0	-0.1385600788	0.3019267788	0.0
540.0	0.0	-0.1407415812	0.3050256289	0.0
544.0	0.0	-0.1429352284	0.3081270115	0.0
548.0	0.0	-0.1451408926	0.3112308602	0.0
552.0	0.0	-0.1473584468	0.3143371103	0.0
556.0	0.0	-0.149587765	0.3174456988	0.0
560.0	0.0	-0.1518287219	0.3205565644	0.0
564.0	0.0	-0.1540811932	0.3236696472	0.0
568.0	0.0	-0.1563450552	0.3267848893	0.0
572.0	0.0	-0.1586201854	0.3299022338	0.0
576.0	0.0	-0.160906462	0.3330216257	0.0
580.0	0.0	-0.163203764	0.3361430113	0.0
584.0	0.0	-0.1655119716	0.3392663382	0.0
588.0	0.0	-0.1678309656	0.3423915556	0.0
592.0	0.0	-0.170160628	0.3455186138	0.0
596.0	0.0	-0.1725008414	0.3486474645	0.0
600.0	0.0	-0.1748514895	0.3517780607	0.0
604.0	0.0	-0.1772124569	0.3549103567	0.0
608.0	0.0	-0.1795836293	0.3580443079	0.0
612.0	0.0	-0.181964893	0.3611798707	0.0
616.0	0.0	-0.1843561354	0.364317003	0.0
620.0	0.0	-0.1867572449	0.3674556636	0.0
624.0	0.0	-0.1891681108	0.3705958123	0.0
628.0	0.0	-0.1915886233	0.3737374102	0.0
632.0	0.0	-0.1940186736	0.3768804192	0.0
636.0	0.0	-0.1964581538	0.3800248023	0.0
640.0	0.0	-0.1989069569	0.3831705234	0.0
644.0	0.0	-0.201364977	0.3863175475	0.0
648.0	0.0	-0.2038321091	0.3894658404	0.0
652.0	0.0	-0.2063082489	0.3926153688	0.0
656.0	0.0	-0.2087932933	0.3957661002	0.0
660.0	0.0	-0.2112871402	0.3989180032	0.0
664.0	0.0	-0.2137896883	0.4020710469	0.0
668.0	0.0	-0.2163008372	0.4052252015	0.0
672.0	0.0	-0.2188204874	0.4083804378	0.0
676.0	0.0	-0.2213485407	0.4115367274	0.0
680.0	0.0	-0.2238848994	0.4146940428	0.0
684.0	0.0	-0.2264294669	0.4178523569	0.0
688.0	0.0	-0.2289821475	0.4210116436	0.0
692.0	0.0	-0.2315428466	0.4241718774	0.0
696.0	0.0	-0.2341114702	0.4273330334	0.0
700.0	0.0	-0.2366879255	0.4304950874	0.0
704.0	0.0	-0.2392721205	0.4336580159	0.0
708.0	0.0	-0.2418639641	0.436821796	0.0
712.0	0.0	-0.2444633662	0.4399864052	0.0
716.0	0.0	-0.2470702373	0.4431518219	0.0
720.0	0.0	-0.2496844893	0.4463180248	0.0
724.0	0.0	-0.2523060345	0.4494849933	0.0
728.0	0.0	-0.2549347865	0.4526527074	0.0
732.0	0.0	-0.2575706594	0.4558211475	0.0
736.0	0.0	-0.2602135686	0.4589902944	0.0
740.0	0.0	-0.2628634299	0.4621601298	0.0
