# (1)t	# (2) P[4<--1](t)	# (3) P[4<--2](t)	# (4) P[4<--3](t)	# (5) P[4<--4](t)
0.0	0.0	0.0	0.0	0.0
4.0	0.0	-1.016439537e-21	1.598068827e-21	0.0
8.0	0.0	1.0254745550000001e-20	1.801356734e-20	0.0
12.0	0.0	1.2423149890000001e-20	2.6325784000000002e-20	0.0
16.0	0.0	2.109612394e-20	2.207616803e-21	0.0
20.0	0.0	1.242628111e-18	-1.41090855e-19	0.0
24.0	0.0	3.995048529e-18	-6.103910893e-19	0.0
28.0	0.0	7.525199177e-18	-7.368188731e-19	0.0
32.0	0.0	1.2203173549999999e-17	-7.115049974000001e-19	0.0
36.0	0.0	1.744496575e-17	-1.284729758e-18	0.0
40.0	0.0	2.278797773e-17	-1.48198292e-18	0.0
44.0	0.0	2.812811784e-17	-7.782638836e-19	0.0
48.0	0.0	3.3132865549999996e-17	-3.9865630500000003e-19	0.0
52.0	0.0	3.7310682629999997e-17	-1.148944186e-18	0.0
56.0	0.0	4.056894631e-17	-1.983956899e-18	0.0
60.0	0.0	4.385859866e-17	-1.802019317e-18	0.0
64.0	0.0	4.698849543e-17	-1.738834398e-18	0.0
68.0	0.0	4.955070385e-17	-2.237789567e-18	0.0
72.0	0.0	5.109406595e-17	-3.550594109e-18	0.0
76.0	0.0	5.28849645e-17	-5.985058369e-18	0.0
80.0	0.0	5.4628671359999996e-17	-8.478755756e-18	0.0
84.0	0.0	5.418435013e-17	-1.0673797459999999e-17	0.0
88.0	0.0	5.1604474849999995e-17	-1.225042018e-17	0.0
92.0	0.0	4.6937419019999996e-17	-1.296751993e-17	0.0
96.0	0.0	4.022888746e-17	-1.266698911e-17	0.0
100.0	0.0	3.152284217e-17	-1.124962827e-17	0.0
104.0	0.0	2.0861979949999998e-17	-8.648338637e-18	0.0
108.0	0.0	8.288035024e-18	-4.828974187e-18	0.0
112.0	0.0	-6.157750278e-18	1.603315179e-19	0.0
116.0	0.0	-2.243376734e-17	6.210509608e-18	0.0
120.0	0.0	-4.049759036e-17	1.319357723e-17	0.0
124.0	0.0	-6.030595443e-17	2.0968587659999998e-17	0.0
128.0	0.0	-8.181493553e-17	2.942407286e-17	0.0
132.0	0.0	-1.049805009e-16	3.8498849359999996e-17	0.0
136.0	0.0	-1.2975891579999998e-16	4.811897098e-17	0.0
140.0	0.0	-1.561063635e-16	5.81755901e-17	0.0
144.0	0.0	-1.8397890579999997e-16	6.859650091e-17	0.0
148.0	0.0	-2.1333294929999998e-16	7.93200037e-17	0.0
152.0	0.0	-2.4412533899999997e-16	9.030492896999999e-17	0.0
156.0	0.0	-2.763136523e-16	1.015397225e-16	0.0
160.0	0.0	-3.0985655089999997e-16	1.130287539e-16	0.0
164.0	0.0	-3.4471395019999997e-16	1.247992239e-16	0.0
168.0	0.0	-3.808471421e-16	1.368887396e-16	0.0
172.0	0.0	-4.1821822329999996e-16	1.492441561e-16	0.0
176.0	0.0	-4.567895616e-16	1.6179561099999998e-16	0.0
180.0	0.0	-4.96523922e-16	1.7452963819999998e-16	0.0
184.0	0.0	-5.373847836e-16	1.8743794689999998e-16	0.0
188.0	0.0	-5.793369137e-16	2.0057773949999998e-16	0.0
192.0	0.0	-6.223467287e-16	2.1401733999999999e-16	0.0
196.0	0.0	-6.663819327999999e-16	2.27757722e-16	0.0
200.0	0.0	-7.114107247999999e-16	2.417355663e-16	0.0
204.0	0.0	-7.574016960999999e-16	2.559306628e-16	0.0
208.0	0.0	-8.043241602999999e-16	2.7036393029999996e-16	0.0
212.0	0.0	-8.521483952999999e-16	2.850327563e-16	0.0
216.0	0.0	-9.008451812e-16	2.9989361009999997e-16	0.0
220.0	0.0	-9.503853281e-16	3.1488956079999997e-16	0.0
224.0	0.0	-1.000739759e-15	3.299661082e-16	0.0
228.0	0.0	-1.051879466e-15	3.450835928e-16	0.0
232.0	0.0	-1.103775869e-15	3.602412121e-16	0.0
236.0	0.0	-1.156401179e-15	3.754233018e-16	0.0
240.0	0.0	-1.209728043e-15	3.906087907e-16	0.0
244.0	0.0	-1.263729558e-15	4.0579615249999996e-16	0.0
248.0	0.0	-1.318379807e-15	4.21015332e-16	0.0
252.0	0.0	-1.373654172e-15	4.3632729859999995e-16	0.0
256.0	0.0	-1.429529209e-15	4.517636257e-16	0.0
260.0	0.0	-1.4859825270000001e-15	4.673549438999999e-16	0.0
264.0	0.0	-1.5429927730000001e-15	4.831282607e-16	0.0
268.0	0.0	-1.6005392500000001e-15	4.990780979e-16	0.0
272.0	0.0	-1.658601766e-15	5.151947639e-16	0.0
276.0	0.0	-1.717160614e-15	5.314714542999999e-16	0.0
280.0	0.0	-1.77619668e-15	5.4793038039999995e-16	0.0
284.0	0.0	-1.835691656e-15	5.645789652999999e-16	0.0
288.0	0.0	-1.895627235e-15	5.813434621e-16	0.0
292.0	0.0	-1.955984782e-15	5.981728519e-16	0.0
296.0	0.0	-2.016745891e-15	6.150678197999999e-16	0.0
300.0	0.0	-2.0778924210000002e-15	6.320052743999999e-16	0.0
304.0	0.0	-2.139406502e-15	6.489573052999999e-16	0.0
308.0	0.0	-2.201270243e-15	6.658848952999999e-16	0.0
312.0	0.0	-2.26346558e-15	6.827410526e-16	0.0
316.0	0.0	-2.325974707e-15	6.995393041999999e-16	0.0
320.0	0.0	-2.388780744e-15	7.163262025999999e-16	0.0
324.0	0.0	-2.451867786e-15	7.331213957e-16	0.0
328.0	0.0	-2.515220159e-15	7.498956005e-16	0.0
332.0	0.0	-2.5788220620000002e-15	7.665886195999999e-16	0.0
336.0	0.0	-2.642657817e-15	7.832090296999999e-16	0.0
340.0	0.0	-2.706712148e-15	7.997626236999999e-16	0.0
344.0	0.0	-2.770970234e-15	8.162408989999999e-16	0.0
348.0	0.0	-2.835417549e-15	8.326368662e-16	0.0
352.0	0.0	-2.900039653e-15	8.489053038999999e-16	0.0
356.0	0.0	-2.964821991e-15	8.650189929999999e-16	0.0
360.0	0.0	-3.029749984e-15	8.809567449999999e-16	0.0
364.0	0.0	-3.09480912e-15	8.966869884e-16	0.0
368.0	0.0	-3.159984988e-15	9.122087641e-16	0.0
372.0	0.0	-3.225263785e-15	9.27539914e-16	0.0
376.0	0.0	-3.290632326e-15	9.426990102e-16	0.0
380.0	0.0	-3.3560778360000002e-15	9.577043888e-16	0.0
384.0	0.0	-3.421588316e-15	9.725975142e-16	0.0
388.0	0.0	-3.487152706e-15	9.874307073999999e-16	0.0
392.0	0.0	-3.552760786e-15	1.002228015e-15	0.0
396.0	0.0	-3.61840327e-15	1.017058347e-15	0.0
400.0	0.0	-3.684071815e-15	1.031958082e-15	0.0
404.0	0.0	-3.7497580740000004e-15	1.046844e-15	0.0
408.0	0.0	-3.81545307e-15	1.061650544e-15	0.0
412.0	0.0	-3.881147575e-15	1.0763705e-15	0.0
416.0	0.0	-3.946832281e-15	1.090981572e-15	0.0
420.0	0.0	-4.012497941e-15	1.105469811e-15	0.0
424.0	0.0	-4.078135688e-15	1.119865024e-15	0.0
428.0	0.0	-4.143737761e-15	1.134270644e-15	0.0
432.0	0.0	-4.2092974050000005e-15	1.148701083e-15	0.0
436.0	0.0	-4.274807625e-15	1.16306259e-15	0.0
440.0	0.0	-4.340260565e-15	1.177274863e-15	0.0
444.0	0.0	-4.405647358e-15	1.191263726e-15	0.0
