# (1)t	# (2) P[6<--1](t)	# (3) P[6<--2](t)	# (4) P[6<--3](t)	# (5) P[6<--4](t)	# (6) P[6<--5](t)	# (7) P[6<--6](t)	# (8) P[6<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	6.652555045e-6	1.428569021e-9	4.112856303e-10	-2.288406266e-10	-1.515744609e-9	0.0	6.712781816e-10
2.0	2.657256311e-5	1.426357076e-8	4.102082312e-9	-2.285700161e-9	-1.513490305e-8	0.0	6.699895629e-9
3.0	5.965005346e-5	6.404940538e-8	1.839183319e-8	-1.026932705e-8	-6.79681283e-8	0.0	3.006988889e-8
4.0	0.00010570698	1.930268292e-7	5.53128926e-8	-3.09721074e-8	-2.048618054e-7	0.0	9.056067488e-8
5.0	0.000164499793	4.596578059e-7	1.313708267e-7	-7.382583204e-8	-4.879169176e-7	0.0	2.154712875e-7
6.0	0.0002357222724	9.37987594e-7	2.672219441e-7	-1.508297511e-7	-9.958436884e-7	0.0	4.392515076e-7
7.0	0.0003190087055	1.71685729e-6	4.872760439e-7	-2.76462253e-7	-1.823165305e-6	0.0	8.03048383e-7
8.0	0.0004139374113	2.89898068e-6	8.192332492e-7	-4.6757734e-7	-3.079284552e-6	0.0	1.354176979e-6
9.0	0.0005200345881	4.599899863e-6	1.293564543e-6	-7.432869604e-7	-4.887427716e-6	0.0	2.145524539e-6
10.0	0.0006367784452	6.946834637e-6	1.942946211e-6	-1.124830166e-6	-7.383480596e-6	0.0	3.23489752e-6
11.0	0.0007636035753	1.0077441e-5	2.801658795e-6	-1.635429997e-6	-1.071473173e-5	0.0	4.684321132e-6
12.0	0.0008999055225	1.413849424e-5	3.90496135e-6	-2.300138926e-6	-1.50385381e-5	0.0	6.559301051e-6
13.0	0.001045045498	1.928451193e-5	5.288451708e-6	-3.145673637e-6	-2.052092828e-5	0.0	8.928056791e-6
14.0	0.0011983552	2.567633238e-5	6.987423621e-6	-4.200239898e-6	-2.733515835e-5	0.0	1.186073639e-5
15.0	0.00135914169	3.347966347e-5	9.036230774e-6	-5.493348335e-6	-3.566023513e-5	0.0	1.542862137e-5
16.0	0.001526692283	4.2863616e-5	1.146766779e-5	-7.05562168e-6	-4.567942053e-5	0.0	1.970333087e-5
17.0	0.001700279417	5.399923601e-5	1.431237698e-5	-8.918594478e-6	-5.757873116e-5	0.0	2.475603327e-5
18.0	0.001879165455	6.705804936e-5	1.759829024e-5	-1.111450585e-5	-7.154544624e-5	0.0	3.065667361e-5
