# (1)t	# (2) P[7<--1](t)	# (3) P[7<--2](t)	# (4) P[7<--3](t)	# (5) P[7<--4](t)	# (6) P[7<--5](t)	# (7) P[7<--6](t)	# (8) P[7<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	3.474903905e-6	-8.932428826e-11	-1.450781512e-10	-1.54675815e-10	6.803266681e-12	-6.712781816e-10	0.0
2.0	1.388595782e-5	-8.917904548e-10	-1.44797159e-9	-1.545229265e-9	6.788388586e-11	-6.699895629e-9	0.0
3.0	3.119372485e-5	-4.004336339e-9	-6.498435273e-9	-6.944236613e-9	3.045469722e-10	-3.006988889e-8	0.0
4.0	5.533506412e-5	-1.206797726e-8	-1.957006353e-8	-2.095028051e-8	9.166704785e-10	-9.056067488e-8	0.0
5.0	8.622418258e-5	-2.873964879e-8	-4.65593535e-8	-4.995620758e-8	2.179390504e-9	-2.154712875e-7	0.0
6.0	0.0001237536777	-5.865563877e-8	-9.490393867e-8	-1.021062616e-7	4.438614302e-9	-4.392515076e-7	0.0
7.0	0.0001677956271	-1.073877624e-7	-1.734818682e-7	-1.872424045e-7	8.105447027e-9	-8.03048383e-7	0.0
8.0	0.0002182027399	-1.813933484e-7	-2.924939427e-7	-3.168400234e-7	1.36496278e-8	-1.354176979e-6	0.0
9.0	0.0002748095714	-2.879600407e-7	-4.633312398e-7	-5.039331442e-7	2.15920793e-8	-2.145524539e-6	0.0
10.0	0.0003374337948	-4.35146364e-7	-6.984300626e-7	-7.630292275e-7	3.249668269e-8	-3.23489752e-6	0.0
11.0	0.0004058775223	-6.317189416e-7	-1.011116615e-6	-1.110013594e-6	4.696139548e-8	-4.684321132e-6	0.0
12.0	0.0004799286667	-8.870871863e-7	-1.415443732e-6	-1.56204353e-6	6.560883427e-8	-6.559301051e-6	0.0
13.0	0.0005593623329	-1.211236213e-6	-1.926021989e-6	-2.137432089e-6	8.907644502e-8	-8.928056791e-6	0.0
14.0	0.0006439422301	-1.614658674e-6	-2.557847518e-6	-2.855521704e-6	1.180063891e-7	-1.186073639e-5	0.0
15.0	0.0007334220955	-2.108286109e-6	-3.326128762e-6	-3.736547782e-6	1.530352679e-7	-1.542862137e-5	0.0
16.0	0.0008275471199	-2.703420377e-6	-4.246114322e-6	-4.80149233e-6	1.947838086e-7	-1.970333087e-5	0.0
17.0	0.0009260553665	-3.411665613e-6	-5.332923933e-6	-6.071928131e-6	2.438466312e-7	-2.475603327e-5	0.0
18.0	0.001028679175	-4.244861169e-6	-6.601384606e-6	-7.569853614e-6	3.007822175e-7	-3.065667361e-5	0.0
19.0	0.001135146541	-5.215015824e-6	-8.065873478e-6	-9.317519007e-6	3.661031784e-7	-3.747322342e-5	0.0
20.0	0.001245182472	-6.334243602e-6	-9.740169206e-6	-1.133724449e-5	4.402669381e-7	-4.527096048e-5	0.0
21.0	0.001358510296	-7.614701426e-6	-1.163731331e-5	-1.365123085e-5	5.236669268e-7	-5.411178474e-5	0.0
22.0	0.001474852937	-9.068528767e-6	-1.376948258e-5	-1.628136378e-5	6.166243627e-7	-6.405357529e-5	0.0
23.0	0.001593934139	-1.070778946e-5	-1.614787371e-5	-1.924901256e-5	7.193807156e-7	-7.514959401e-5	0.0
24.0	0.001715479639	-1.25444158e-5	-1.878260113e-5	-2.257482445e-5	8.320909122e-7	-8.744793987e-5	0.0
25.0	0.001839218275	-1.459015489e-5	-2.168260845e-5	-2.627851598e-5	9.548173506e-7	-0.0001009910574	0.0
26.0	0.001964883048	-1.685651752e-5	-2.485559426e-5	-3.037866248e-5	1.087524773e-6	-0.0001158153024	0.0
27.0	0.002092212105	-1.935472926e-5	-2.83079524e-5	-3.489248745e-5	1.230076041e-6	-0.0001319505673	0.0
28.0	0.002220949666	-2.209568408e-5	-3.204472694e-5	-3.983565325e-5	1.38222884e-6	-0.0001494199675	0.0
29.0	0.002350846879	-2.508990028e-5	-3.60695817e-5	-4.522205489e-5	1.543633342e-6	-0.0001682395901	0.0
30.0	0.002481662603	-2.834747881e-5	-4.038478411e-5	-5.106361851e-5	1.713830838e-6	-0.0001884183054	0.0
31.0	0.002613164126	-3.187806391e-5	-4.499120314e-5	-5.73701066e-5	1.892253336e-6	-0.0002099576405	0.0
32.0	0.00274512781	-3.569080602e-5	-4.988832056e-5	-6.414893143e-5	2.07822413e-6	-0.0002328517156	0.0
33.0	0.002877339659	-3.979432695e-5	-5.507425511e-5	-7.140497891e-5	2.270959319e-6	-0.000257087241	0.0
34.0	0.003009595827	-4.419668728e-5	-6.054579863e-5	-7.914044432e-5	2.46957025e-6	-0.0002826435729	0.0
35.0	0.003141703049	-4.890535591e-5	-6.62984634e-5	-8.735468199e-5	2.673066872e-6	-0.0003094928267	0.0
36.0	0.003273479004	-5.392718181e-5	-7.232653978e-5	-9.604407043e-5	2.880361937e-6	-0.000337600046	0.0
37.0	0.003404752615	-5.926836788e-5	-7.862316299e-5	-0.0001052018947	3.090276026e-6	-0.0003669234224	0.0
