# (1)t	# (2) d/dt P[2<--1](t)	# (3) d/dt P[2<--2](t)	# (4) d/dt P[2<--3](t)	# (5) d/dt P[2<--4](t)	# (6) d/dt P[2<--5](t)	# (7) d/dt P[2<--6](t)	# (8) d/dt P[2<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0005454076752	0.0	-1.390772594e-8	5.579699327e-10	-8.460130086e-11	-2.857138042e-9	1.786485765e-10
2.0	0.001088818663	0.0	-1.110398767e-7	4.456220654e-9	-6.754341186e-10	-2.281286544e-8	1.426283757e-9
3.0	0.001628472717	0.0	-3.735765946e-7	1.500169959e-8	-2.272310041e-9	-7.67588038e-8	4.798808013e-9
4.0	0.00216268624	0.0	-8.817181997e-7	3.544195561e-8	-5.362953897e-9	-1.811960438e-7	1.132847383e-8
5.0	0.002689845414	0.0	-1.712819695e-6	6.89430523e-8	-1.041778557e-8	-3.520659096e-7	2.201486922e-8
6.0	0.003208406205	0.0	-2.940591488e-6	1.185703081e-7	-1.788509858e-8	-6.045936666e-7	3.781711073e-8
7.0	0.003716896654	0.0	-4.634370593e-6	1.872714778e-7	-2.818664841e-8	-9.531457255e-7	5.96471366e-8
8.0	0.004213919785	0.0	-6.858466876e-6	2.778621434e-7	-4.171367048e-8	-1.411101054e-6	8.836403536e-8
9.0	0.004698156495	0.0	-9.671587632e-6	3.930131143e-7	-5.882334244e-8	-1.990737312e-6	1.247693491e-7
10.0	0.00516836814	0.0	-1.312634364e-5	5.35239674e-7	-7.983570703e-8	-2.703132237e-6	1.696032976e-7
11.0	0.005623398694	0.0	-1.726883807e-5	7.068924965e-7	-1.050310626e-7	-3.558080485e-6	2.235418577e-7
12.0	0.006062176443	0.0	-2.213833868e-5	9.101500652e-7	-1.346478248e-7	-4.564026002e-6	2.871946317e-7
13.0	0.006483715201	0.0	-2.776703073e-5	1.147012386e-6	-1.688808441e-7	-5.728009374e-6	3.611034222e-7
14.0	0.006887115029	0.0	-3.417985734e-5	1.419295987e-6	-2.078802243e-7	-7.055631527e-6	4.457414984e-7
15.0	0.007271562541	0.0	-4.139443047e-5	1.728629854e-6	-2.51750548e-7	-8.551030645e-6	5.415133734e-7
16.0	0.007636330739	0.0	-4.942102528e-5	2.076452245e-6	-3.005505743e-7	-1.021687443e-5	6.487551626e-7
17.0	0.007980778496	0.0	-5.826264176e-5	2.46400849e-6	-3.542933548e-7	-1.205436558e-5	7.677353094e-7
18.0	0.008304349581	0.0	-6.79151443e-5	2.892349145e-6	-4.129467747e-7	-1.406326113e-5	8.986558024e-7
19.0	0.008606571509	0.0	-7.836744017e-5	3.362328993e-6	-4.764343759e-7	-1.624190024e-5	1.041653508e-6
20.0	0.008887053829	0.0	-8.960175735e-5	3.874606479e-6	-5.446367395e-7	-1.858725006e-5	1.196802047e-6
21.0	0.009145486388	0.0	-0.0001015939307	4.429643517e-6	-6.173929671e-7	-2.109495409e-5	1.364113602e-6
22.0	0.009381637147	0.0	-0.0001143137684	5.027705793e-6	-6.945026437e-7	-2.37593957e-5	1.543541081e-6
23.0	0.009595349874	0.0	-0.000127725442	5.668863377e-6	-7.757279798e-7	-2.657376692e-5	1.734980312e-6
24.0	0.0097865416	0.0	-0.0001417879184	6.352991702e-6	-8.607962297e-7	-2.953014548e-5	1.938272352e-6
25.0	0.00995519991	0.0	-0.0001564554199	7.079772884e-6	-9.494023188e-7	-3.2619578e-5	2.153205844e-6
26.0	0.01010138009	0.0	-0.000171677907	7.848697372e-6	-1.04121165e-6	-3.583216838e-5	2.379519415e-6
27.0	0.01022520214	0.0	-0.0001874015803	8.659065959e-6	-1.135863063e-6	-3.915717045e-5	2.616904065e-6
28.0	0.01032684771	0.0	-0.0002035693932	9.50999216e-6	-1.232971911e-6	-4.258308378e-5	2.865005567e-6
