# (1)t	# (2) d/dt P[1<--1](t)	# (3) d/dt P[1<--2](t)	# (4) d/dt P[1<--3](t)	# (5) d/dt P[1<--4](t)	# (6) d/dt P[1<--5](t)	# (7) d/dt P[1<--6](t)	# (8) d/dt P[1<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0	-0.0005454076752	-2.144398431e-6	-2.46929885e-6	-3.184476708e-6	-1.330511009e-5	-6.94980781e-6
2.0	0.0	-0.001088818663	-4.276814226e-6	-4.93458726e-6	-6.364619174e-6	-2.653490603e-5	-1.387230003e-5
3.0	0.0	-0.001628472717	-6.386436475e-6	-7.392879005e-6	-9.537430882e-6	-3.962007468e-5	-2.074323401e-5
4.0	0.0	-0.00216268624	-8.463077696e-6	-9.841434109e-6	-1.27002378e-5	-5.249377841e-5	-2.753944454e-5
5.0	0.0	-0.002689845414	-1.049720382e-5	-1.227767572e-5	-1.585056666e-5	-6.509184752e-5	-3.423879238e-5
6.0	0.0	-0.003208406205	-1.247998391e-5	-1.469914212e-5	-1.898606894e-5	-7.735311142e-5	-4.082019793e-5
7.0	0.0	-0.003716896654	-1.44033414e-5	-1.710345312e-5	-2.210446403e-5	-8.921975478e-5	-4.726370086e-5
8.0	0.0	-0.004213919785	-1.626000026e-5	-1.948828367e-5	-2.520349223e-5	-0.0001006376568	-5.355052476e-5
9.0	0.0	-0.004698156495	-1.804352365e-5	-2.185134186e-5	-2.828087435e-5	-0.0001115566968	-5.96631382e-5
10.0	0.0	-0.00516836814	-1.974834369e-5	-2.419035025e-5	-3.133427638e-5	-0.0001219310174	-6.558530849e-5
11.0	0.0	-0.005623398694	-2.136978232e-5	-2.650303001e-5	-3.4361279e-5	-0.0001317192429	-7.130214658e-5
12.0	0.0	-0.006062176443	-2.290406302e-5	-2.878708773e-5	-3.735935151e-5	-0.0001408846513	-7.680014229e-5
13.0	0.0	-0.006483715201	-2.434831382e-5	-3.104020472e-5	-4.032583014e-5	-0.0001493953	-8.206719005e-5
14.0	0.0	-0.006887115029	-2.570056144e-5	-3.32600291e-5	-4.325790135e-5	-0.0001572241042	-8.709260429e-5
15.0	0.0	-0.007271562541	-2.695971833e-5	-3.544417013e-5	-4.615258909e-5	-0.0001643488748	-9.186712649e-5
16.0	0.0	-0.007636330739	-2.812556066e-5	-3.759019514e-5	-4.900674672e-5	-0.0001707523113	-9.63829223e-5
17.0	0.0	-0.007980778496	-2.919870191e-5	-3.969562899e-5	-5.181705372e-5	-0.0001764219582	-0.000100633571
18.0	0.0	-0.008304349581	-3.018055612e-5	-4.175795576e-5	-5.458001604e-5	-0.0001813501175	-0.0001046140454
19.0	0.0	-0.008606571509	-3.107330152e-5	-4.377462232e-5	-5.729197046e-5	-0.0001855337431	-0.0001083206879
20.0	0.0	-0.008887053829	-3.187983194e-5	-4.57430449e-5	-5.994909401e-5	-0.0001889742791	-0.0001117511736
21.0	0.0	-0.009145486388	-3.260371047e-5	-4.766061642e-5	-6.254741514e-5	-0.0001916774957	-0.0001149044737
22.0	0.0	-0.009381637147	-3.324911504e-5	-4.952471647e-5	-6.508282981e-5	-0.0001936532816	-0.0001177808084
23.0	0.0	-0.009595349874	-3.382078315e-5	-5.133272232e-5	-6.755111959e-5	-0.0001949154234	-0.0001203815968
24.0	0.0	-0.0097865416	-3.432395363e-5	-5.308202156e-5	-6.994797286e-5	-0.0001954813641	-0.0001227094018
25.0	0.0	-0.00995519991	-3.476430676e-5	-5.477002576e-5	-7.226900821e-5	-0.0001953719449	-0.0001247678711
26.0	0.0	-0.01010138009	-3.51479033e-5	-5.639418509e-5	-7.450979986e-5	-0.0001946111357	-0.0001265616747
27.0	0.0	-0.01022520214	-3.548112307e-5	-5.795200376e-5	-7.666590466e-5	-0.0001932257549	-0.0001280964396
28.0	0.0	-0.01032684771	-3.577060354e-5	-5.944105582e-5	-7.87328904e-5	-0.0001912451827	-0.0001293786829
29.0	0.0	-0.01040655695	-3.602317906e-5	-6.085900146e-5	-8.070636496e-5	-0.0001887010701	-0.0001304157422
30.0	0.0	-0.01046462526	-3.624582103e-5	-6.220360324e-5	-8.258200617e-5	-0.0001856270459	-0.0001312157057
31.0	0.0	-0.0105014001	-3.644557966e-5	-6.347274233e-5	-8.435559171e-5	-0.0001820584244	-0.0001317873414
32.0	0.0	-0.01051727766	-3.662952768e-5	-6.466443448e-5	-8.60230291e-5	-0.0001780319162	-0.0001321400256
33.0	0.0	-0.01051269965	-3.680470623e-5	-6.577684541e-5	-8.758038514e-5	-0.0001735853435	-0.0001322836725
34.0	0.0	-0.01048814998	-3.697807341e-5	-6.680830573e-5	-8.902391481e-5	-0.0001687573629	-0.0001322286638
35.0	0.0	-0.01044415157	-3.715645565e-5	-6.775732494e-5	-9.035008906e-5	-0.0001635871952	-0.0001319857796
36.0	0.0	-0.01038126311	-3.734650222e-5	-6.862260459e-5	-9.155562157e-5	-0.0001581143663	-0.0001315661304
37.0	0.0	-0.01030007593	-3.755464302e-5	-6.940305035e-5	-9.263749391e-5	-0.0001523784591	-0.0001309810913
38.0	0.0	-0.0102012109	-3.778704987e-5	-7.009778289e-5	-9.359297922e-5	-0.0001464188766	-0.0001302422372
39.0	0.0	-0.01008531541	-3.804960134e-5	-7.070614755e-5	-9.441966394e-5	-0.0001402746204	-0.0001293612817
40.0	0.0	-0.009953060388	-3.83478513e-5	-7.122772262e-5	-9.511546768e-5	-0.0001339840808	-0.0001283500168
41.0	0.0	-0.009805137446	-3.868700106e-5	-7.166232621e-5	-9.567866091e-5	-0.0001275848437	-0.0001272202563
42.0	0.0	-0.009642256083	-3.907187536e-5	-7.201002167e-5	-9.610788053e-5	-0.000121113511	-0.0001259837816
43.0	0.0	-0.009465140981	-3.950690197e-5	-7.22711215e-5	-9.640214307e-5	-0.0001146055376	-0.0001246522906
44.0	0.0	-0.009274529404	-3.999609498e-5	-7.244618975e-5	-9.656085557e-5	-0.0001080950834	-0.0001232373494
45.0	0.0	-0.009071168683	-4.054304168e-5	-7.253604287e-5	-9.658382407e-5	-0.0001016148815	-0.0001217503471
46.0	0.0	-0.008855813811	-4.115089292e-5	-7.254174907e-5	-9.647125966e-5	-9.519612185e-5	-0.0001202024545
47.0	0.0	-0.008629225129	-4.182235683e-5	-7.246462611e-5	-9.622378215e-5	-8.886835042e-5	-0.0001186045845
48.0	0.0	-0.008392166127	-4.255969574e-5	-7.230623775e-5	-9.584242135e-5	-8.265938352e-5	-0.0001169673576
49.0	0.0	-0.008145401332	-4.336472627e-5	-7.206838865e-5	-9.532861598e-5	-7.659523727e-5	-0.0001153010692
50.0	0.0	-0.007889694314	-4.423882221e-5	-7.175311797e-5	-9.468421027e-5	-7.070007133e-5	-0.0001136156606
51.0	0.0	-0.007625805787	-4.518292025e-5	-7.136269163e-5	-9.391144837e-5	-6.499614676e-5	-0.0001119206933
52.0	0.0	-0.007354491812	-4.619752817e-5	-7.089959338e-5	-9.301296661e-5	-5.950379716e-5	-0.0001102253263
53.0	0.0	-0.007076502107	-4.728273541e-5	-7.036651468e-5	-9.199178365e-5	-5.424141262e-5	-0.0001085382965
54.0	0.0	-0.00679257845	-4.843822577e-5	-6.976634354e-5	-9.085128877e-5	-4.922543576e-5	-0.0001068679019
55.0	0.0	-0.006503453185	-4.966329205e-5	-6.910215235e-5	-8.959522833e-5	-4.447036927e-5	-0.0001052219879
56.0	0.0	-0.006209847821	-5.095685246e-5	-6.83771849e-5	-8.822769041e-5	-3.998879401e-5	-0.0001036079362
57.0	0.0	-0.00591247173	-5.231746853e-5	-6.759484257e-5	-8.675308805e-5	-3.579139717e-5	-0.0001020326565
