# (1)t	# (2) d/dt P[7<--1](t)	# (3) d/dt P[7<--2](t)	# (4) d/dt P[7<--3](t)	# (5) d/dt P[7<--4](t)	# (6) d/dt P[7<--5](t)	# (7) d/dt P[7<--6](t)	# (8) d/dt P[7<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.681078118e-7	-4.321302417e-12	-7.01854532e-12	-7.482858091e-12	3.291263029e-13	-3.247488544e-11	0.0
2.0	3.355548912e-7	-3.450015424e-11	-5.601242506e-11	-5.978890081e-11	2.625812745e-12	-2.591756797e-10	0.0
3.0	5.017548363e-7	-1.160776149e-10	-1.883173238e-10	-2.014025843e-10	8.823399858e-12	-8.714105286e-10	0.0
4.0	6.661473075e-7	-2.74022678e-10	-4.440578106e-10	-4.76177417e-10	2.078971925e-11	-2.054993754e-9	0.0
5.0	8.281967826e-7	-5.325142211e-10	-8.61621599e-10	-9.270622303e-10	4.02977543e-11	-3.987892707e-9	0.0
6.0	9.873933698e-7	-9.147521643e-10	-1.477177588e-9	-1.595836734e-9	6.899826643e-11	-6.838076633e-9	0.0
7.0	1.143254252e-6	-1.442795239e-9	-2.324240854e-9	-2.522852901e-9	1.083946177e-10	-1.076157457e-8	0.0
8.0	1.29532525e-6	-2.137423802e-9	-3.433287978e-9	-3.746780081e-9	1.598200216e-10	-1.590075188e-8	0.0
9.0	1.443182299e-6	-3.01802623e-9	-4.831425229e-9	-5.304352271e-9	2.244174076e-10	-2.238281233e-8	0.0
10.0	1.586432748e-6	-4.102507582e-9	-6.542111927e-9	-7.230116826e-9	3.031220769e-10	-3.031853227e-8	0.0
11.0	1.724716448e-6	-5.407218958e-9	-8.584940065e-9	-9.556184106e-9	3.966472642e-10	-3.980122887e-8	0.0
12.0	1.857706605e-6	-6.946905934e-9	-1.09754705e-8	-1.231197841e-8	5.054726845e-10	-5.090596188e-8	0.0
13.0	1.985110397e-6	-8.734674082e-9	-1.372512433e-8	-1.552398894e-8	6.29836032e-10	-6.36889608e-8	0.0
14.0	2.106669355e-6	-1.078197124e-8	-1.684113305e-8	-1.921552534e-8	7.697277339e-10	-7.818729337e-8	0.0
15.0	2.222159524e-6	-1.309858212e-8	-2.032653614e-8	-2.340647807e-8	9.248883848e-10	-9.441872789e-8	0.0
16.0	2.331391401e-6	-1.569263695e-8	-2.418023692e-8	-2.811307546e-8	1.09480943e-9	-1.123818285e-7	0.0
17.0	2.434209676e-6	-1.857062907e-8	-2.839709777e-8	-3.334766947e-8	1.278736422e-9	-1.320562241e-7	0.0
18.0	2.530492749e-6	-2.173744435e-8	-3.2968095e-8	-3.91185e-8	1.475675522e-9	-1.534031048e-7	0.0
19.0	2.620152141e-6	-2.519639344e-8	-3.788048862e-8	-4.542950853e-8	1.684401452e-9	-1.763658052e-7	0.0
20.0	2.703131622e-6	-2.894925713e-8	-4.311806525e-8	-5.228013762e-8	1.903469664e-9	-2.008706737e-7	0.0
21.0	2.779406304e-6	-3.299633011e-8	-4.866137775e-8	-5.966516939e-8	2.131228844e-9	-2.268279514e-7	0.0
22.0	2.848981513e-6	-3.733647328e-8	-5.448803836e-8	-6.757457701e-8	2.365836854e-9	-2.54132875e-7	0.0
23.0	2.911891577e-6	-4.196716685e-8	-6.057302239e-8	-7.599340533e-8	2.605277775e-9	-2.826668406e-7	0.0
24.0	2.968198488e-6	-4.688456612e-8	-6.688899482e-8	-8.490167985e-8	2.847380785e-9	-3.122986801e-7	0.0
25.0	3.017990479e-6	-5.208355869e-8	-7.340665032e-8	-9.427434783e-8	3.089840381e-9	-3.428860134e-7	0.0
26.0	3.061380512e-6	-5.755782217e-8	-8.009506241e-8	-1.040812542e-7	3.330237714e-9	-3.742766641e-7	0.0
27.0	3.0985047e-6	-6.329988228e-8	-8.69220376e-8	-1.142871552e-7	3.566062833e-9	-4.063101231e-7	0.0
28.0	3.129520681e-6	-6.930117061e-8	-9.385446989e-8	-1.248517707e-7	3.794737569e-9	-4.388190447e-7	0.0
29.0	3.154605947e-6	-7.555208197e-8	-1.008586918e-7	-1.357298792e-7	4.013638857e-9	-4.716307606e-7	0.0
30.0	3.17395614e-6	-8.204203107e-8	-1.079008179e-7	-1.468714548e-7	4.220122255e-9	-5.045688001e-7	0.0
