# (1)t	# (2) d/dt P[5<--1](t)	# (3) d/dt P[5<--2](t)	# (4) d/dt P[5<--3](t)	# (5) d/dt P[5<--4](t)	# (6) d/dt P[5<--5](t)	# (7) d/dt P[5<--6](t)	# (8) d/dt P[5<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	7.702880796e-8	2.046407607e-12	-1.433034096e-12	-5.014244205e-12	0.0	7.332821754e-11	-3.291263029e-13
2.0	1.539527756e-7	1.633797003e-11	-1.145718661e-11	-4.000411615e-11	0.0	5.855351605e-10	-2.625812745e-12
3.0	2.306994208e-7	5.496455142e-11	-3.863581128e-11	-1.344154862e-10	0.0	1.970414049e-9	-8.823399858e-12
4.0	3.072040616e-7	1.297236512e-10	-9.148806411e-11	-3.166616819e-10	0.0	4.652185352e-9	-2.078971925e-11
5.0	3.834068726e-7	2.519941824e-10	-1.784764696e-10	-6.136342118e-10	0.0	9.041366134e-9	-4.02977543e-11
6.0	4.592510459e-7	4.326198463e-10	-3.079955795e-10	-1.050227752e-9	0.0	1.553095597e-8	-6.899826643e-11
7.0	5.346814159e-7	6.818024207e-10	-4.883601689e-10	-1.648881714e-9	0.0	2.449294987e-8	-1.083946177e-10
8.0	6.096433234e-7	1.009005437e-9	-7.277917445e-10	-2.429140491e-9	0.0	3.627519329e-8	-1.598200216e-10
9.0	6.84081637e-7	1.422868611e-9	-1.034402355e-9	-3.40723399e-9	0.0	5.119858994e-8	-2.244174076e-10
10.0	7.579399002e-7	1.931133404e-9	-1.416174888e-9	-4.595680542e-9	0.0	6.955467382e-8	-3.031220769e-10
11.0	8.311595922e-7	2.540579911e-9	-1.880939226e-9	-6.002913848e-9	0.0	9.160354921e-8	-3.966472642e-10
12.0	9.036794982e-7	3.256975131e-9	-2.436343865e-9	-7.632936126e-9	0.0	1.175722e-7	-5.054726845e-10
13.0	9.754351849e-7	4.08503227e-9	-3.089822539e-9	-9.484996978e-9	0.0	1.476531536e-7	-6.29836032e-10
14.0	1.046358596e-6	5.028382165e-9	-3.848555969e-9	-1.155330651e-8	0.0	1.82003533e-7	-7.697277339e-10
15.0	1.116377744e-6	6.089554547e-9	-4.71942958e-9	-1.38267787e-8	0.0	2.207444218e-7	-9.248883848e-10
16.0	1.185416515e-6	7.269970735e-9	-5.708984391e-9	-1.628880394e-8	0.0	2.639605887e-7	-1.09480943e-9
17.0	1.253394591e-6	8.569946428e-9	-6.823368493e-9	-1.891707646e-8	0.0	3.11700531e-7	-1.278736422e-9
18.0	1.320227454e-6	9.988704811e-9	-8.068277793e-9	-2.1683437e-8	0.0	3.63976833e-7	-1.475675522e-9
19.0	1.385826494e-6	1.152439644e-8	-9.448903423e-9	-2.455378099e-8	0.0	4.207667397e-7	-1.684401452e-9
20.0	1.450099239e-6	1.317413273e-8	-1.096986771e-8	-2.748800368e-8	0.0	4.820131387e-7	-1.903469664e-9
21.0	1.512949622e-6	1.493402172e-8	-1.263516688e-8	-3.043999164e-8	0.0	5.476256145e-7	-2.131228844e-9
22.0	1.57427837e-6	1.67992156e-8	-1.444810904e-8	-3.335767311e-8	0.0	6.174818512e-7	-2.365836854e-9
23.0	1.633983444e-6	1.876396252e-8	-1.641125543e-8	-3.618311711e-8	0.0	6.914291609e-7	-2.605277775e-9
24.0	1.691960552e-6	2.082166508e-8	-1.852636309e-8	-3.885269156e-8	0.0	7.692862065e-7	-2.847380785e-9
25.0	1.748103713e-6	2.296494389e-8	-2.079433087e-8	-4.129727955e-8	0.0	8.508448682e-7	-3.089840381e-9
26.0	1.802305871e-6	2.518570541e-8	-2.321514957e-8	-4.344255549e-8	0.0	9.358722309e-7	-3.330237714e-9
27.0	1.854459552e-6	2.74752136e-8	-2.578785734e-8	-4.520932262e-8	0.0	1.024112674e-6	-3.566062833e-9
