# (1)t	# (2) P[3<--1](t)	# (3) P[3<--2](t)	# (4) P[3<--3](t)	# (5) P[3<--4](t)	# (6) P[3<--5](t)	# (7) P[3<--6](t)	# (8) P[3<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.072199215e-6	6.953862972e-9	0.0	-6.986425459e-10	2.962179879e-11	-4.112856303e-10	1.450781512e-10
2.0	4.282805544e-6	6.942766427e-8	0.0	-6.980019332e-9	2.960715121e-10	-4.102082312e-9	1.44797159e-9
3.0	9.614430895e-6	3.117358999e-7	0.0	-3.137220625e-8	1.331528176e-9	-1.839183319e-8	6.498435273e-9
4.0	1.703918798e-5	9.39383297e-7	0.0	-9.466689701e-8	4.021278032e-9	-5.53128926e-8	1.957006353e-8
5.0	2.651932874e-5	2.236652244e-6	0.0	-2.257982173e-7	9.601630319e-9	-1.313708267e-7	4.65593535e-8
6.0	3.800792261e-5	4.563357835e-6	0.0	-4.616839585e-7	1.965734162e-8	-2.672219441e-7	9.490393867e-8
7.0	5.144958526e-5	8.350838876e-6	0.0	-8.470325857e-7	3.611856177e-8	-4.872760439e-7	1.734818682e-7
8.0	6.678125609e-5	1.409725761e-5	0.0	-1.434118813e-6	6.125725691e-8	-8.192332492e-7	2.924939427e-7
9.0	8.393301805e-5	2.236228486e-5	0.0	-2.282530111e-6	9.768301898e-8	-1.293564543e-6	4.633312398e-7
10.0	0.0001028289517	3.37612505e-5	0.0	-3.458886138e-6	1.483381333e-7	-1.942946211e-6	6.984300626e-7
11.0	0.0001233880147	4.895884135e-5	0.0	-5.036532787e-6	2.164917461e-7	-2.801658795e-6	1.011116615e-6
12.0	0.0001455249374	6.866242973e-5	0.0	-7.095212257e-6	3.057329521e-7	-3.90496135e-6	1.415443732e-6
13.0	0.0001691511258	9.361511443e-5	0.0	-9.72071025e-6	4.199626063e-7	-5.288451708e-6	1.926021989e-6
14.0	0.0001941755634	0.0001245885585	0.0	-1.300448133e-5	5.633836544e-7	-6.987423621e-6	2.557847518e-6
15.0	0.0002205057033	0.0001623757024	0.0	-1.704325336e-5	7.404897991e-7	-9.036230774e-6	3.326128762e-6
16.0	0.0002480483428	0.0002077834303	0.0	-2.193861152e-5	9.560522768e-7	-1.146766779e-5	4.246114322e-6
17.0	0.0002767104741	0.0002616252638	0.0	-2.7796563e-5	1.215104616e-6	-1.431237698e-5	5.332923933e-6
18.0	0.0003064001031	0.0003247141568	0.0	-3.472708269e-5	1.522925171e-6	-1.759829024e-5	6.601384606e-6
19.0	0.000337027032	0.000397855449	0.0	-4.284364087e-5	1.885017335e-6	-2.135011238e-5	8.065873478e-6
20.0	0.0003685035987	0.0004818400478	0.0	-5.226271399e-5	2.307087355e-6	-2.558885366e-5	9.740169206e-6
21.0	0.0004007453699	0.0005774378918	0.0	-6.310327899e-5	2.795019629e-6	-3.033141742e-5	1.163731331e-5
22.0	0.0004336717826	0.0006853917414	0.0	-7.548629302e-5	3.35484954e-6	-3.559024647e-5	1.376948258e-5
