# (1)t	# (2) P[1<--1](t)	# (3) P[1<--2](t)	# (4) P[1<--3](t)	# (5) P[1<--4](t)	# (6) P[1<--5](t)	# (7) P[1<--6](t)	# (8) P[1<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0	-0.0002727038376	-1.072199215e-6	-1.234649425e-6	-1.592238354e-6	-6.652555045e-6	-3.474903905e-6
2.0	0.0	-0.001089817007	-4.282805544e-6	-4.93659248e-6	-6.366786294e-6	-2.657256311e-5	-1.388595782e-5
3.0	0.0	-0.002448462697	-9.614430895e-6	-1.110032561e-5	-1.431781132e-5	-5.965005346e-5	-3.119372485e-5
4.0	0.0	-0.004344042176	-1.703918798e-5	-1.971748217e-5	-2.543664566e-5	-0.00010570698	-5.533506412e-5
5.0	0.0	-0.006770308003	-2.651932874e-5	-3.077703709e-5	-3.97120479e-5	-0.000164499793	-8.622418258e-5
6.0	0.0	-0.009719433813	-3.800792261e-5	-4.426544601e-5	-5.71303657e-5	-0.0002357222724	-0.0001237536777
7.0	0.0	-0.01318208524	-5.144958526e-5	-6.016674363e-5	-7.767563219e-5	-0.0003190087055	-0.0001677956271
8.0	0.0	-0.01714749346	-6.678125609e-5	-7.846261202e-5	-0.0001013296103	-0.0004139374113	-0.0002182027399
9.0	0.0	-0.0216035316	-8.393301805e-5	-9.913242478e-5	-0.0001280717936	-0.0005200345881	-0.0002748095714
10.0	0.0	-0.02653679392	-0.0001028289517	-0.0001221532708	-0.000157879369	-0.0006367784452	-0.0003374337948
11.0	0.0	-0.03193267734	-0.0001233880147	-0.000147499961	-0.0001907271467	-0.0007636035753	-0.0004058775223
12.0	0.0	-0.03777546491	-0.0001455249374	-0.0001751450198	-0.0002265874619	-0.0008999055225	-0.0004799286667
13.0	0.0	-0.04404841073	-0.0001691511258	-0.0002050586661	-0.0002654300527	-0.001045045498	-0.0005593623329
14.0	0.0	-0.05073382584	-0.0001941755634	-0.000237208783	-0.0003072219185	-0.0011983552	-0.0006439422301
15.0	0.0	-0.05781316463	-0.0002205057033	-0.0002715608826	-0.0003519271637	-0.00135914169	-0.0007334220955
16.0	0.0	-0.06526711127	-0.0002480483428	-0.0003080780652	-0.0003995068316	-0.001526692283	-0.0008275471199
17.0	0.0	-0.07307566589	-0.0002767104741	-0.0003467209773	-0.0004499187318	-0.001700279417	-0.0009260553665
18.0	0.0	-0.08121822992	-0.0003064001031	-0.0003874477697	-0.0005031172667	-0.001879165455	-0.001028679175
19.0	0.0	-0.08967369047	-0.000337027032	-0.0004302140587	-0.00055905326	-0.002062607386	-0.001135146541
20.0	0.0	-0.09842050314	-0.0003685035987	-0.0004749728923	-0.0006176737922	-0.002249861397	-0.001245182472
21.0	0.0	-0.1074367732	-0.0004007453699	-0.000521674723	-0.0006789220468	-0.002440187284	-0.001358510296
22.0	0.0	-0.116700335	-0.0004336717826	-0.0005702673894	-0.0007427371693	-0.002632852673	-0.001474852937
23.0	0.0	-0.1261888285	-0.0004672067317	-0.0006206961088	-0.000809054144	-0.002827137025	-0.001593934139
24.0	0.0	-0.1358797743	-0.0005012791001	-0.0006729034808	-0.0008778036902	-0.003022335419	-0.001715479639
25.0	0.0	-0.145750645	-0.0005358232303	-0.0007268295044	-0.0009489121807	-0.003217762073	-0.001839218275
26.0	0.0	-0.155778935	-0.0005707793354	-0.0007824116099	-0.001022301585	-0.003412753614	-0.001964883048
27.0	0.0	-0.1659422261	-0.0006060938485	-0.0008395847043	-0.001097889437	-0.003606672059	-0.002092212105
28.0	0.0	-0.1762182511	-0.0006417197118	-0.0008982812341	-0.001175588835	-0.003798907528	-0.002220949666
29.0	0.0	-0.1865849534	-0.0006776166031	-0.0009584312627	-0.001255308462	-0.003988880654	-0.002350846879
30.0	0.0	-0.1970205445	-0.0007137511032	-0.001019962565	-0.001336952648	-0.004176044712	-0.002481662603
31.0	0.0	-0.2075035572	-0.0007500968035	-0.001082800738	-0.001420421447	-0.004359887447	-0.002613164126
32.0	0.0	-0.218012896	-0.0007866343572	-0.001146869326	-0.001505610757	-0.004539932618	-0.00274512781
33.0	0.0	-0.2285278847	-0.0008233514742	-0.001212089966	-0.001592412464	-0.004715741248	-0.002877339659
34.0	0.0	-0.2390283095	-0.000860242864	-0.001278382542	-0.001680714614	-0.004886912601	-0.003009595827
35.0	0.0	-0.2494944603	-0.0008973101285	-0.001345665357	-0.001770401616	-0.00505308488	-0.003141703049
36.0	0.0	-0.2599071676	-0.0009345616074	-0.001413855322	-0.001861354471	-0.005213935661	-0.003273479004
37.0	0.0	-0.2702478371	-0.0009720121801	-0.001482868149	-0.001953451029	-0.005369182073	-0.003404752615
38.0	0.0	-0.2804984806	-0.001009683027	-0.001552618566	-0.002046566266	-0.005518580741	-0.003535364279
39.0	0.0	-0.2906417437	-0.001047601352	-0.001623020531	-0.002140572587	-0.00566192749	-0.003665166038
40.0	0.0	-0.3006609316	-0.001085800078	-0.001693987466	-0.002235340153	-0.00579905684	-0.003794021688
41.0	0.0	-0.3105400305	-0.001124317505	-0.001765432491	-0.002330737217	-0.005929841303	-0.003921806824
42.0	0.0	-0.3202637273	-0.001163196943	-0.001837268665	-0.002426630488	-0.00605419048	-0.004048408843
43.0	0.0	-0.3298174258	-0.001202486331	-0.001909409236	-0.0025228855	-0.006172050004	-0.004173726879
44.0	0.0	-0.339187261	-0.00124223783	-0.001981767892	-0.002619366999	-0.006283400315	-0.004297671699
45.0	0.0	-0.3483601101	-0.001282507398	-0.002054259008	-0.002715939339	-0.006388255297	-0.004420165548
46.0	0.0	-0.3573236013	-0.001323354366	-0.002126797904	-0.002812466881	-0.006486660799	-0.004541141948
47.0	0.0	-0.3660661208	-0.00136484099	-0.002199301092	-0.002908814402	-0.006578693035	-0.004660545468
48.0	0.0	-0.3745768164	-0.001407032017	-0.002271686524	-0.003004847504	-0.006664456902	-0.004778331439
49.0	0.0	-0.3828456001	-0.001449994228	-0.002343873837	-0.003100433022	-0.006744084212	-0.004894465652
50.0	0.0	-0.390863148	-0.001493796002	-0.00241578459	-0.003195439435	-0.006817731867	-0.005008924017
51.0	0.0	-0.398620898	-0.001538506873	-0.002487342495	-0.003289737265	-0.006885579976	-0.005121692194
52.0	0.0	-0.4061110468	-0.001584197097	-0.002558473637	-0.003383199472	-0.006947829948	-0.005232765204
53.0	0.0	-0.4133265438	-0.001630937229	-0.002629106691	-0.003475701847	-0.007004702552	-0.005342147015
54.0	0.0	-0.4202610841	-0.00167879771	-0.002699173121	-0.003567123384	-0.007056435977	-0.005449850115
55.0	0.0	-0.4269090999	-0.001727848469	-0.002768607369	-0.003657346642	-0.007103283879	-0.005555895059
56.0	0.0	-0.4332657504	-0.001778158541	-0.002837347037	-0.003746258102	-0.007145513461	-0.005660310022
57.0	0.0	-0.4393269102	-0.001829795701	-0.002905333051	-0.003833748491	-0.007183403556	-0.005763130318
58.0	0.0	-0.4450891565	-0.001882826118	-0.002972509807	-0.003919713105	-0.00721724276	-0.005864397936
59.0	0.0	-0.4505497554	-0.001937314023	-0.003038825312	-0.004004052104	-0.00724732759	-0.005964161057
60.0	0.0	-0.4557066469	-0.00199332141	-0.003104231299	-0.004086670785	-0.007273960707	-0.006062473568
61.0	0.0	-0.4605584285	-0.002050907745	-0.003168683339	-0.004167479842	-0.007297449186	-0.006159394587
62.0	0.0	-0.4651043389	-0.002110129706	-0.00323214092	-0.004246395599	-0.007318102849	-0.006254987981
63.0	0.0	-0.4693442399	-0.002171040944	-0.003294567529	-0.004323340218	-0.007336232674	-0.006349321889
64.0	0.0	-0.473278598	-0.002233691864	-0.003355930701	-0.004398241888	-0.007352149269	-0.006442468256
65.0	0.0	-0.4769084655	-0.002298129435	-0.003416202065	-0.004471034986	-0.007366161432	-0.006534502367
66.0	0.0	-0.4802354603	-0.002364397015	-0.003475357361	-0.004541660216	-0.007378574786	-0.006625502399
67.0	0.0	-0.483261746	-0.002432534208	-0.003533376454	-0.004610064726	-0.0073896905	-0.006715548978
68.0	0.0	-0.4859900113	-0.002502576737	-0.003590243322	-0.004676202193	-0.007399804102	-0.006804724748
69.0	0.0	-0.4884234483	-0.002574556345	-0.003645946034	-0.004740032887	-0.007409204369	-0.006893113954
70.0	0.0	-0.4905657317	-0.00264850071	-0.003700476713	-0.004801523716	-0.007418172318	-0.006980802043
71.0	0.0	-0.4924209965	-0.002724433387	-0.003753831479	-0.004860648236	-0.007426980277	-0.007067875272
72.0	0.0	-0.4939938167	-0.002802373772	-0.003806010385	-0.004917386648	-0.00743589105	-0.007154420342
73.0	0.0	-0.4952891824	-0.00288233708	-0.003857017339	-0.004971725764	-0.00744515717	-0.007240524035
74.0	0.0	-0.4963124782	-0.002964334345	-0.003906860005	-0.005023658952	-0.007455020237	-0.007326272886
75.0	0.0	-0.4970694609	-0.003048372438	-0.003955549706	-0.005073186064	-0.007465710348	-0.007411752854
76.0	0.0	-0.4975662367	-0.003134454102	-0.004003101301	-0.005120313336	-0.007477445599	-0.007497049025
77.0	0.0	-0.4978092396	-0.003222578	-0.004049533064	-0.00516505327	-0.007490431688	-0.007582245326
78.0	0.0	-0.4978052088	-0.003312738783	-0.004094866544	-0.0052074245	-0.007504861576	-0.007667424256
79.0	0.0	-0.4975611667	-0.003404927165	-0.004139126425	-0.005247451635	-0.007520915241	-0.007752666645
80.0	0.0	-0.4970843971	-0.003499130018	-0.004182340371	-0.005285165089	-0.007538759495	-0.007838051416
81.0	0.0	-0.4963824236	-0.003595330476	-0.004224538865	-0.005320600887	-0.00755854788	-0.007923655382
82.0	0.0	-0.4954629878	-0.003693508045	-0.004265755048	-0.005353800465	-0.007580420623	-0.008009553047
83.0	0.0	-0.4943340283	-0.00379363873	-0.004306024546	-0.005384810452	-0.007604504657	-0.008095816432
84.0	0.0	-0.4930036598	-0.003895695163	-0.004345385294	-0.005413682439	-0.007630913704	-0.008182514918
85.0	0.0	-0.4914801525	-0.003999646749	-0.004383877358	-0.005440472735	-0.00765974841	-0.008269715106
86.0	0.0	-0.4897719114	-0.004105459805	-0.004421542755	-0.005465242114	-0.007691096533	-0.00835748069
87.0	0.0	-0.4878874574	-0.004213097715	-0.004458425269	-0.005488055557	-0.00772503318	-0.008445872352
88.0	0.0	-0.4858354066	-0.004322521086	-0.004494570267	-0.005508981979	-0.007761621088	-0.008534947668
89.0	0.0	-0.4836244523	-0.004433687905	-0.004530024516	-0.00552809395	-0.007800910941	-0.008624761033
90.0	0.0	-0.4812633456	-0.004546553707	-0.004564835995	-0.005545467418	-0.00784294173	-0.008715363598
91.0	0.0	-0.4787608778	-0.004661071733	-0.004599053718	-0.00556118142	-0.007887741142	-0.008806803223
92.0	0.0	-0.4761258623	-0.0047771931	-0.004632727548	-0.005575317791	-0.007935325973	-0.008899124441
93.0	0.0	-0.4733671176	-0.004894866967	-0.004665908022	-0.005587960873	-0.007985702577	-0.008992368439
94.0	0.0	-0.4704934507	-0.005014040698	-0.004698646174	-0.005599197224	-0.008038867325	-0.009086573046
95.0	0.0	-0.4675136408	-0.005134660032	-0.004730993365	-0.005609115322	-0.00809480709	-0.009181772739
96.0	0.0	-0.4644364235	-0.005256669244	-0.004763001115	-0.005617805277	-0.008153499743	-0.009277998653
97.0	0.0	-0.4612704761	-0.005380011308	-0.004794720938	-0.005625358536	-0.008214914661	-0.009375278606
98.0	0.0	-0.4580244028	-0.005504628054	-0.00482620419	-0.005631867603	-0.008279013244	-0.009473637134
99.0	0.0	-0.454706721	-0.005630460331	-0.004857501912	-0.005637425754	-0.008345749435	-0.009573095531
100.0	0.0	-0.4513258475	-0.005757448155	-0.004888664687	-0.005642126756	-0.008415070249	-0.009673671901
101.0	0.0	-0.4478900859	-0.00588553086	-0.004919742499	-0.0056460646	-0.008486916295	-0.009775381216
102.0	0.0	-0.4444076145	-0.006014647247	-0.004950784601	-0.005649333234	-0.008561222298	-0.009878235383
103.0	0.0	-0.4408864744	-0.006144735723	-0.004981839386	-0.005652026303	-0.00863791762	-0.009982243312
104.0	0.0	-0.4373345585	-0.006275734439	-0.005012954271	-0.005654236899	-0.008716926768	-0.010087411
105.0	0.0	-0.4337596013	-0.006407581422	-0.005044175583	-0.005656057318	-0.008798169898	-0.01019374161
106.0	0.0	-0.4301691685	-0.006540214708	-0.005075548455	-0.005657578828	-0.00888156331	-0.01030123555
107.0	0.0	-0.426570648	-0.006673572457	-0.005107116724	-0.005658891446	-0.008967019923	-0.01040989059
108.0	0.0	-0.4229712413	-0.006807593079	-0.005138922848	-0.005660083719	-0.009054449746	-0.01051970194
109.0	0.0	-0.419377955	-0.006942215341	-0.005171007817	-0.005661242524	-0.009143760327	-0.01063066233
110.0	0.0	-0.4157975937	-0.007077378479	-0.005203411081	-0.005662452875	-0.009234857195	-0.01074276215
111.0	0.0	-0.4122367527	-0.007213022297	-0.005236170479	-0.005663797736	-0.009327644269	-0.01085598954
112.0	0.0	-0.4087018119	-0.00734908727	-0.005269322183	-0.005665357854	-0.009422024269	-0.01097033047
113.0	0.0	-0.4051989295	-0.00748551463	-0.005302900637	-0.005667211597	-0.009517899096	-0.01108576889
114.0	0.0	-0.4017340374	-0.007622246457	-0.00533693852	-0.005669434806	-0.009615170193	-0.01120228678
115.0	0.0	-0.3983128359	-0.007759225762	-0.005371466697	-0.005672100654	-0.009713738895	-0.01131986432
116.0	0.0	-0.39494079	-0.007896396561	-0.005406514194	-0.005675279526	-0.009813506749	-0.01143847995
117.0	0.0	-0.3916231254	-0.008033703951	-0.005442108166	-0.005679038902	-0.009914375824	-0.01155811052
118.0	0.0	-0.3883648258	-0.008171094172	-0.005478273883	-0.005683443251	-0.01001624899	-0.01167873133
119.0	0.0	-0.38517063	-0.008308514679	-0.005515034712	-0.005688553947	-0.01011903019	-0.01180031632
120.0	0.0	-0.3820450302	-0.00844591419	-0.005552412111	-0.005694429183	-0.01022262469	-0.01192283811
121.0	0.0	-0.37899227	-0.008583242746	-0.005590425629	-0.005701123906	-0.01032693927	-0.01204626813
122.0	0.0	-0.3760163437	-0.00872045176	-0.005629092909	-0.005708689756	-0.01043188249	-0.01217057672
123.0	0.0	-0.3731209959	-0.008857494058	-0.005668429695	-0.005717175025	-0.01053736482	-0.01229573322
124.0	0.0	-0.3703097206	-0.008994323927	-0.005708449851	-0.005726624613	-0.01064329886	-0.01242170608
125.0	0.0	-0.3675857625	-0.009130897143	-0.005749165373	-0.00573708001	-0.01074959942	-0.01254846297
126.0	0.0	-0.364952117	-0.009267171011	-0.005790586422	-0.005748579274	-0.01085618375	-0.01267597084
127.0	0.0	-0.362411532	-0.009403104394	-0.005832721341	-0.005761157032	-0.01096297156	-0.01280419602
128.0	0.0	-0.3599665091	-0.009538657734	-0.005875576697	-0.005774844474	-0.01106988519	-0.01293310432
129.0	0.0	-0.3576193058	-0.009673793079	-0.005919157308	-0.005789669377	-0.01117684966	-0.01306266113
130.0	0.0	-0.3553719378	-0.009808474097	-0.005963466287	-0.005805656115	-0.01128379276	-0.01319283147
131.0	0.0	-0.353226182	-0.009942666098	-0.006008505082	-0.005822825699	-0.01139064506	-0.01332358008
132.0	0.0	-0.3511835794	-0.01007633604	-0.00605427352	-0.005841195806	-0.01149734003	-0.01345487152
133.0	0.0	-0.3492454386	-0.01020945254	-0.006100769856	-0.00586078083	-0.01160381399	-0.01358667022
134.0	0.0	-0.3474128397	-0.01034198589	-0.006147990824	-0.005881591933	-0.01171000619	-0.01371894056
135.0	0.0	-0.3456866384	-0.01047390805	-0.006195931684	-0.005903637105	-0.01181585876	-0.01385164696
136.0	0.0	-0.34406747	-0.01060519263	-0.006244586284	-0.005926921226	-0.01192131676	-0.0139847539
137.0	0.0	-0.3425557549	-0.01073581495	-0.006293947106	-0.005951446142	-0.01202632813	-0.01411822602
138.0	0.0	-0.3411517028	-0.01086575195	-0.00634400533	-0.005977210742	-0.01213084368	-0.01425202818
139.0	0.0	-0.339855318	-0.01099498227	-0.006394750891	-0.006004211038	-0.01223481706	-0.01438612551
140.0	0.0	-0.3386664053	-0.01112348618	-0.006446172533	-0.006032440251	-0.01233820472	-0.01452048343
141.0	0.0	-0.337584575	-0.01125124557	-0.006498257878	-0.006061888908	-0.01244096587	-0.01465506778
142.0	0.0	-0.3366092493	-0.011378244	-0.006550993476	-0.006092544932	-0.01254306242	-0.0147898448
143.0	0.0	-0.3357396677	-0.01150446661	-0.006604364876	-0.006124393744	-0.01264445893	-0.01492478121
144.0	0.0	-0.334974894	-0.01162990012	-0.00665835668	-0.006157418362	-0.01274512256	-0.01505984422
145.0	0.0	-0.3343138218	-0.01175453287	-0.006712952605	-0.006191599507	-0.01284502298	-0.01519500164
146.0	0.0	-0.3337551816	-0.0118783547	-0.006768135548	-0.006226915714	-0.01294413233	-0.01533022183
147.0	0.0	-0.3332975471	-0.01200135702	-0.006823887643	-0.006263343435	-0.01304242512	-0.01546547379
148.0	0.0	-0.332939342	-0.01212353272	-0.006880190323	-0.00630085715	-0.01313987818	-0.01560072721
149.0	0.0	-0.3326788471	-0.01224487617	-0.006937024378	-0.006339429486	-0.0132364706	-0.01573595244
150.0	0.0	-0.3325142064	-0.0123653832	-0.006994370016	-0.006379031322	-0.01333218358	-0.01587112057
151.0	0.0	-0.3324434351	-0.01248505107	-0.007052206921	-0.006419631905	-0.01342700046	-0.01600620343
152.0	0.0	-0.3324644258	-0.0126038784	-0.00711051431	-0.006461198967	-0.01352090655	-0.01614117362
153.0	0.0	-0.332574956	-0.01272186519	-0.007169270987	-0.006503698834	-0.0136138891	-0.01627600454
154.0	0.0	-0.3327726948	-0.01283901277	-0.007228455404	-0.006547096542	-0.0137059372	-0.0164106704
155.0	0.0	-0.3330552105	-0.01295532373	-0.007288045709	-0.006591355953	-0.01379704172	-0.01654514626
156.0	0.0	-0.3334199772	-0.01307080196	-0.007348019804	-0.00663643986	-0.01388719522	-0.01667940799
157.0	0.0	-0.3338643821	-0.01318545252	-0.00740835539	-0.006682310104	-0.01397639189	-0.01681343234
158.0	0.0	-0.3343857327	-0.01329928169	-0.007469030024	-0.006728927682	-0.01406462745	-0.01694719694
159.0	0.0	-0.3349812633	-0.01341229685	-0.007530021164	-0.006776252857	-0.01415189909	-0.01708068029
160.0	0.0	-0.3356481425	-0.01352450652	-0.007591306216	-0.006824245259	-0.01423820542	-0.01721386179
161.0	0.0	-0.33638348	-0.01363592025	-0.007652862581	-0.006872863999	-0.01432354636	-0.01734672173
162.0	0.0	-0.337184333	-0.01374654863	-0.007714667697	-0.006922067762	-0.0144079231	-0.0174792413
163.0	0.0	-0.3380477135	-0.0138564032	-0.007776699085	-0.006971814913	-0.01449133803	-0.0176114026
164.0	0.0	-0.3389705946	-0.01396549646	-0.007838934383	-0.007022063595	-0.01457379467	-0.01774318864
165.0	0.0	-0.3399499172	-0.01407384178	-0.007901351395	-0.007072771822	-0.01465529761	-0.01787458333
166.0	0.0	-0.3409825964	-0.01418145339	-0.007963928117	-0.00712389757	-0.01473585246	-0.01800557149
167.0	0.0	-0.342065528	-0.01428834632	-0.008026642782	-0.007175398874	-0.01481546578	-0.01813613886
168.0	0.0	-0.3431955942	-0.01439453634	-0.00808947389	-0.007227233907	-0.01489414503	-0.01826627206
169.0	0.0	-0.3443696702	-0.01450003994	-0.00815240024	-0.007279361069	-0.01497189851	-0.01839595861
170.0	0.0	-0.34558463	-0.0146048743	-0.008215400961	-0.007331739064	-0.01504873535	-0.01852518693
171.0	0.0	-0.346837352	-0.01470905718	-0.008278455542	-0.007384326981	-0.01512466539	-0.01865394631
172.0	0.0	-0.3481247246	-0.01481260694	-0.008341543859	-0.007437084369	-0.01519969921	-0.01878222694
