# (1)t	# (2) P[5<--1](t)	# (3) P[5<--2](t)	# (4) P[5<--3](t)	# (5) P[5<--4](t)	# (6) P[5<--5](t)	# (7) P[5<--6](t)	# (8) P[5<--7](t)
43.0	0.0025228855	3.965874694e-5	-4.21045752e-5	-3.173595239e-5	0.0	0.001518561645	-4.328701778e-6
44.0	0.002619366999	4.238556737e-5	-4.561280845e-5	-2.915361291e-5	0.0	0.001628395859	-4.517566495e-6
45.0	0.002715939339	4.518728347e-5	-4.92868339e-5	-2.575779957e-5	0.0	0.001741991151	-4.697125979e-6
46.0	0.002812466881	4.805908105e-5	-5.312501079e-5	-2.146798155e-5	0.0	0.001859225305	-4.865704175e-6
47.0	0.002908814402	5.09958582e-5	-5.71250086e-5	-1.620212582e-5	0.0	0.001979964266	-5.021615055e-6
48.0	0.003004847504	5.399225119e-5	-6.128380452e-5	-9.877139022e-6	0.0	0.002104062721	-5.163172523e-6
49.0	0.003100433022	5.704266116e-5	-6.559768549e-5	-2.40933682e-6	0.0	0.002231364728	-5.288700331e-6
50.0	0.003195439435	6.01412817e-5	-7.006225475e-5	6.285062298e-6	0.0	0.002361704367	-5.396541942e-6
51.0	0.003289737265	6.328212677e-5	-7.467244303e-5	1.628942196e-5	0.0	0.002494906418	-5.485070275e-6
52.0	0.003383199472	6.645905902e-5	-7.942252409e-5	2.76861551e-5	0.0	0.002630787062	-5.552697255e-6
53.0	0.003475701847	6.966581825e-5	-8.430613471e-5	4.055617722e-5	0.0	0.002769154596	-5.597883108e-6
54.0	0.003567123384	7.289604982e-5	-8.931629885e-5	5.497834962e-5	0.0	0.002909810164	-5.619145355e-6
55.0	0.003657346642	7.614333288e-5	-9.444545578e-5	7.102891687e-5	0.0	0.003052548501	-5.615067426e-6
56.0	0.003746258102	7.940120821e-5	-9.968549213e-5	8.878094283e-5	0.0	0.003197158676	-5.584306858e-6
57.0	0.003833748491	8.266320563e-5	-0.0001050277773	0.0001083037496	0.0	0.003343424851	-5.52560302e-6
58.0	0.003919713105	8.592287065e-5	-0.0001104632024	0.000129662364	0.0	0.003491127033	-5.437784331e-6
59.0	0.004004052104	8.917379052e-5	-0.0001159822216	0.000152916976	0.0	0.003640041828	-5.319774913e-6
60.0	0.004086670785	9.240961919e-5	-0.0001215748972	0.0001781224136	0.0	0.00378994319	-5.17060067e-6
61.0	0.004167479842	9.562410148e-5	-0.0001272309455	0.0002053276391	0.0	0.003940603171	-4.989394735e-6
62.0	0.004246395599	9.881109602e-5	-0.0001329397858	0.0002345752699	0.0	0.004091792653	-4.775402286e-6
63.0	0.004323340218	0.0001019645971	-0.0001386905904	0.0002659011292	0.0	0.00424328208	-4.527984689e-6
64.0	0.004398241888	0.0001050787552	-0.0001444723359	0.0002993338306	0.0	0.004394842176	-4.246622963e-6
65.0	0.004471034986	0.0001081478962	-0.0001502738554	0.0003348943991	0.0	0.004546244648	-3.930920561e-6
66.0	0.004541660216	0.0001111665395	-0.000156083891	0.0003725959335	0.0	0.004697262881	-3.580605449e-6
67.0	0.004610064726	0.0001141294144	-0.000161891146	0.0004124433123	0.0	0.004847672608	-3.195531485e-6
68.0	0.004676202193	0.000117031475	-0.0001676843379	0.000454432947	0.0	0.004997252578	-2.77567911e-6
69.0	0.004740032887	0.0001198679139	-0.0001734522491	0.0004985525843	0.0	0.00514578519	-2.321155351e-6
70.0	0.004801523716	0.0001226341747	-0.0001791837782	0.0005447811599	0.0	0.005293057124	-1.832193139e-6
71.0	0.004860648236	0.0001253259621	-0.0001848679888	0.0005930887054	0.0	0.00543885994	-1.309149978e-6
72.0	0.004917386648	0.0001279392516	-0.0001904941573	0.0006434363102	0.0	0.005582990664	-7.525059645e-7
73.0	0.004971725764	0.0001304702968	-0.0001960518183	0.0006957761384	0.0	0.005725252349	-1.628611959e-7
74.0	0.005023658952	0.0001329156361	-0.0002015308082	0.0007500515015	0.0	0.005865454617	4.590674227e-7
75.0	0.005073186064	0.0001352720976	-0.0002069213062	0.0008061969873	0.0	0.006003414174	1.112449929e-6
76.0	0.005120313336	0.0001375368024	-0.0002122138729	0.000864138644	0.0	0.006138955302	1.796347589e-6
77.0	0.00516505327	0.0001397071668	-0.0002173994852	0.0009237942189	0.0	0.006271910331	2.50971768e-6
78.0	0.0052074245	0.0001417809035	-0.0002224695695	0.00098507345	0.0	0.006402120077	3.25141874e-6
79.0	0.005247451635	0.0001437560213	-0.0002274160309	0.00104787841	0.0	0.006529434261	4.020216235e-6
80.0	0.005285165089	0.0001456308232	-0.0002322312793	0.001112103899	0.0	0.006653711896	4.814788614e-6
81.0	0.005320600887	0.0001474039042	-0.0002369082522	0.001177637883	0.0	0.006774821652	5.633733713e-6
82.0	0.005353800465	0.0001490741474	-0.0002414404347	0.001244361979	0.0	0.006892642183	6.475575456e-6
83.0	0.005384810452	0.0001506407194	-0.0002458218753	0.001312151979	0.0	0.007007062436	7.338770819e-6
84.0	0.005413682439	0.0001521030645	-0.0002500471988	0.001380878412	0.0	0.007117981918	8.221717011e-6
85.0	0.005440472735	0.0001534608984	-0.0002541116159	0.001450407139	0.0	0.007225310945	9.122758827e-6
