# (1)t	# (2) d/dt P[6<--1](t)	# (3) d/dt P[6<--2](t)	# (4) d/dt P[6<--3](t)	# (5) d/dt P[6<--4](t)	# (6) d/dt P[6<--5](t)	# (7) d/dt P[6<--6](t)	# (8) d/dt P[6<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	3.218352226e-7	6.911086429e-11	1.98970473e-11	-1.10707801e-11	-7.332821754e-11	0.0	3.247488544e-11
2.0	6.41848683e-7	5.518168265e-10	1.586551576e-10	-8.843532568e-11	-5.855351605e-10	0.0	2.591756797e-10
3.0	9.583637767e-7	1.856706674e-9	5.32649931e-10	-2.977940735e-10	-1.970414049e-9	0.0	8.714105286e-10
4.0	1.269763778e-6	4.382922705e-9	1.253505508e-9	-7.037585447e-10	-4.652185352e-9	0.0	2.054993754e-9
5.0	1.574496498e-6	8.516067107e-9	2.426001386e-9	-1.369405512e-9	-9.041366134e-9	0.0	3.987892707e-9
6.0	1.871082288e-6	1.462442144e-8	4.14616139e-9	-2.355865948e-9	-1.553095597e-8	0.0	6.838076633e-9
7.0	2.158122664e-6	2.305549256e-8	6.49954687e-9	-3.721943846e-9	-2.449294987e-8	0.0	1.076157457e-8
8.0	2.434308508e-6	3.413290223e-8	9.559774751e-9	-5.523761926e-9	-3.627519329e-8	0.0	1.590075188e-8
9.0	2.698427454e-6	4.815363282e-8	1.338727591e-8	-7.814431665e-9	-5.119858994e-8	0.0	2.238281233e-8
10.0	2.949370268e-6	6.5385642e-8	1.802830685e-8	-1.064374595e-8	-6.955467382e-8	0.0	3.031853227e-8
11.0	3.186136122e-6	8.606585117e-8	2.351422137e-8	-1.405789259e-8	-9.160354921e-8	0.0	3.980122887e-8
12.0	3.407836749e-6	1.103985096e-7	2.986100378e-8	-1.809918763e-8	-1.175722e-7	0.0	5.090596188e-8
13.0	3.613699497e-6	1.38553921e-7	3.706905907e-8	-2.280582554e-8	-1.476531536e-7	0.0	6.36889608e-8
14.0	3.803069213e-6	1.706675652e-7	4.51232716e-8	-2.821165046e-8	-1.82003533e-7	0.0	7.818729337e-8
15.0	3.975409173e-6	2.0683954e-7	5.399327862e-8	-3.434594414e-8	-2.207444218e-7	0.0	9.441872789e-8
16.0	4.130300896e-6	2.471343742e-7	6.363401898e-8	-4.123322605e-8	-2.639605887e-7	0.0	1.123818285e-7
17.0	4.267443094e-6	2.915811597e-7	7.398643079e-8	-4.8893088e-8	-3.11700531e-7	0.0	1.320562241e-7
18.0	4.386649568e-6	3.401740192e-7	8.497845076e-8	-5.734002391e-8	-3.63976833e-7	0.0	1.534031048e-7
19.0	4.487846632e-6	3.928727793e-7	9.652602462e-8	-6.658330568e-8	-4.207667397e-7	0.0	1.763658052e-7
20.0	4.571069218e-6	4.496040785e-7	1.085344721e-7	-7.662686321e-8	-4.820131387e-7	0.0	2.008706737e-7
21.0	4.636456901e-6	5.102625382e-7	1.20899791e-7	-8.746919697e-8	-5.476256145e-7	0.0	2.268279514e-7
22.0	4.684248875e-6	5.747122988e-7	1.335101926e-7	-9.910331388e-8	-6.174818512e-7	0.0	2.54132875e-7
23.0	4.714778627e-6	6.427886831e-7	1.462476522e-7	-1.115166905e-7	-6.914291609e-7	0.0	2.826668406e-7
24.0	4.728468078e-6	7.143000606e-7	1.589895318e-7	-1.246912663e-7	-7.692862065e-7	0.0	3.122986801e-7
25.0	4.725821355e-6	7.890298596e-7	1.716102285e-7	-1.386034679e-7	-8.508448682e-7	0.0	3.428860134e-7
26.0	4.70741826e-6	8.667387048e-7	1.839828255e-7	-1.532242662e-7	-9.358722309e-7	0.0	3.742766641e-7
27.0	4.6739075e-6	9.471666588e-7	1.959807245e-7	-1.685192683e-7	-1.024112674e-6	0.0	4.063101231e-7
28.0	4.625999749e-6	1.030035539e-6	2.074792371e-7	-1.844488446e-7	-1.115290032e-6	0.0	4.388190447e-7
29.0	4.564460609e-6	1.115051295e-6	2.183571153e-7	-2.009682927e-7	-1.20910982e-6	0.0	4.716307606e-7
