# (1)t	# (2) P[4<--1](t)	# (3) P[4<--2](t)	# (4) P[4<--3](t)	# (5) P[4<--4](t)	# (6) P[4<--5](t)	# (7) P[4<--6](t)	# (8) P[4<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.234649425e-6	-2.789849664e-10	6.986425459e-10	0.0	1.036478708e-10	2.288406266e-10	1.54675815e-10
2.0	4.93659248e-6	-2.78608026e-9	6.980019332e-9	0.0	1.034208292e-9	2.285700161e-9	1.545229265e-9
3.0	1.110032561e-5	-1.251504038e-8	3.137220625e-8	0.0	4.63958124e-9	1.026932705e-8	6.944236613e-9
4.0	1.971748217e-5	-3.773686799e-8	9.466689701e-8	0.0	1.396365604e-8	3.09721074e-8	2.095028051e-8
5.0	3.077703709e-5	-8.992937194e-8	2.257982173e-7	0.0	3.319351097e-8	7.382583204e-8	4.995620758e-8
6.0	4.426544601e-5	-1.836860521e-7	4.616839585e-7	0.0	6.758668028e-8	1.508297511e-7	1.021062616e-7
7.0	6.016674363e-5	-3.366069451e-7	8.470325857e-7	0.0	1.233791263e-7	2.76462253e-7	1.872424045e-7
8.0	7.846261202e-5	-5.691737556e-7	1.434118813e-6	0.0	2.076746456e-7	4.6757734e-7	3.168400234e-7
9.0	9.913242478e-5	-9.046113845e-7	2.282530111e-6	0.0	3.283165137e-7	7.432869604e-7	5.039331442e-7
10.0	0.0001221532708	-1.368737779e-6	3.458886138e-6	0.0	4.937422524e-7	1.124830166e-6	7.630292275e-7
11.0	0.000147499961	-1.989803864e-6	5.036532787e-6	0.0	7.128224762e-7	1.635429997e-6	1.110013594e-6
12.0	0.0001751450198	-2.798325145e-6	7.095212257e-6	0.0	9.946848585e-7	2.300138926e-6	1.56204353e-6
13.0	0.0002050586661	-3.82690637e-6	9.72071025e-6	0.0	1.34852429e-6	3.145673637e-6	2.137432089e-6
14.0	0.000237208783	-5.110060557e-6	1.300448133e-5	0.0	1.783400469e-6	4.200239898e-6	2.855521704e-6
15.0	0.0002715608826	-6.684023478e-6	1.704325336e-5	0.0	2.308024258e-6	5.493348335e-6	3.736547782e-6
16.0	0.0003080780652	-8.586564527e-6	2.193861152e-5	0.0	2.930534031e-6	7.05562168e-6	4.80149233e-6
17.0	0.0003467209773	-1.085679489e-5	2.7796563e-5	0.0	3.658263753e-6	8.918594478e-6	6.071928131e-6
18.0	0.0003874477697	-1.353497371e-5	3.472708269e-5	0.0	4.497504246e-6	1.111450585e-5	7.569853614e-6
19.0	0.0004302140587	-1.666231278e-5	4.284364087e-5	0.0	5.453259291e-6	1.367608617e-5	9.317519007e-6
20.0	0.0004749728923	-2.028078052e-5	5.226271399e-5	0.0	6.528998716e-6	1.663633869e-5	1.133724449e-5
21.0	0.000521674723	-2.443290551e-5	6.310327899e-5	0.0	7.726410157e-6	2.002831694e-5	1.365123085e-5
22.0	0.0005702673894	-2.916158017e-5	7.548629302e-5	0.0	9.045151695e-6	2.388489885e-5	1.628136378e-5
23.0	0.0006206961088	-3.450986475e-5	8.953415939e-5	0.0	1.048260758e-5	2.823855897e-5	1.924901256e-5
24.0	0.0006729034808	-4.052079229e-5	0.0001053701816	0.0	1.203364927e-5	3.312113963e-5	2.257482445e-5
25.0	0.0007268295044	-4.723717459e-5	0.0001231180074	0.0	1.369040421e-5	3.856362258e-5	2.627851598e-5
26.0	0.0007824116099	-5.470140971e-5	0.0001429010643	0.0	1.544203479e-5	4.459590224e-5	3.037866248e-5
27.0	0.0008395847043	-6.295529138e-5	0.0001648419893	0.0	1.727452998e-5	5.124656202e-5	3.489248745e-5
28.0	0.0008982812341	-7.203982044e-5	0.0001890620559	0.0	1.917051221e-5	5.854265529e-5	3.983565325e-5
29.0	0.0009584312627	-8.199501901e-5	0.0002156805994	0.0	2.110906194e-5	6.650949217e-5	4.522205489e-5
30.0	0.001019962565	-9.285974755e-5	0.0002448144446	0.0	2.306556253e-5	7.517043405e-5	5.106361851e-5
31.0	0.001082800738	-0.0001046715254	0.0002765773393	0.0	2.501156787e-5	8.454669709e-5	5.73701066e-5
32.0	0.001146869326	-0.0001174663551	0.0003110793953	0.0	2.69146951e-5	9.465716637e-5	6.414893143e-5
33.0	0.001212089966	-0.0001312785514	0.0003484265414	0.0	2.87385447e-5	0.0001055182222	7.140497891e-5
34.0	0.001278382542	-0.0001461405746	0.0003887199915	0.0	3.044265018e-5	0.0001171435801	7.914044432e-5
