0.0	0.9531605829	0.0
0.25	0.8718568221	7.030015582e-8
0.5	0.6983481237	6.459965192e-7
0.75	0.5045231233	1.587410535e-6
1.0	0.3268480895	2.165241666e-6
1.25	0.1834445584	2.919478469e-6
1.5	0.08023316733	3.506896143e-6
1.75	0.01545129679	3.794712429e-6
2.0	-0.01736119039	1.946151037e-6
2.25	-0.02685761263	-1.65126299e-11
2.5	-0.02221742701	-1.768545035e-12
2.75	-0.01171623854	4.855053499e-12
3.0	-0.001710539316	2.381994524e-11
3.25	0.004025484255	1.802701049e-11
3.5	0.00450904279	-2.221876972e-7
3.75	0.001270921777	-2.107723946e-7
4.0	-0.002388540624	2.257805778e-7
4.25	-0.00246236003	1.769183403e-7
4.5	0.004564485376	3.704569427e-7
4.75	0.0206759769	1.63337021e-7
5.0	0.04564509827	-6.571279074e-7
5.25	0.07692486593	2.069219654e-7
5.5	0.1100695763	5.479041993e-7
5.75	0.1397298446	-1.026975098e-8
6.0	0.160766862	-5.763941255e-9
6.25	0.1695203024	7.564256885e-9
6.5	0.1645360822	2.616299128e-9
6.75	0.1469891274	7.209023888e-9
7.0	0.1202745	1.871103785e-10
7.25	0.08924583877	-5.174862247e-7
7.5	0.05899395714	-1.419653741e-8
7.75	0.03370374165	5.05565231e-7
8.0	0.01575716358	1.839088103e-8
8.25	0.005394418535	3.651088751e-8
8.5	0.001008988359	7.998819363e-8
8.75	6.134162744e-6	6.362439795e-8
9.0	5.280386478e-6	4.8596582e-10
9.25	4.755751256e-5	-9.13464098e-8
9.5	0.001459805099	-1.785657346e-8
9.75	0.008091119999	-9.202453881e-8
10.0	0.02578698148	-7.917516079e-7
10.25	0.06116503653	-6.184134196e-8
10.5	0.1199157485	-5.810600618e-8
10.75	0.2050453195	-4.741531576e-8
11.0	0.3154404276	-1.745854147e-6
11.25	0.4451925239	-7.700299259e-8
11.5	0.5838514061	-3.883765065e-8
11.75	0.7176959489	-1.52309297e-8
12.0	0.831775344	-4.273199124e-9
12.25	0.9123566928	-9.804758123e-11
12.5	0.9492990226	-5.992266282e-12
12.75	0.9378466073	2.096020874e-10
13.0	0.8794896748	-4.668435841e-11
13.25	0.7816850415	-2.09490553e-10
13.5	0.656538163	-1.74051751e-9
13.75	0.5186550689	-3.983155303e-9
14.0	0.3827022017	-6.504799965e-9
14.25	0.2610568437	-8.134287586e-9
14.5	0.1621257825	-8.186529579e-9
14.75	0.08952323635	-6.559535785e-9
15.0	0.04228478651	-3.594304723e-9
