# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
13.0	6.689526345e-7	4.518772954e-8	7.14140364e-7	-5.770144045e-7	1.750637007e-6
13.25	5.365421223e-7	2.260407568e-7	7.625828791e-7	-3.16422196e-7	1.48057149e-6
13.5	7.482286794e-7	5.842914166e-8	8.06657821e-7	-4.132448259e-7	1.668029168e-6
13.75	5.926324901e-7	2.619258712e-7	8.545583613e-7	-1.585383415e-7	1.404835239e-6
14.0	7.875622626e-7	1.106121626e-7	8.981744252e-7	-2.575552527e-7	1.594496609e-6
14.25	6.302377843e-7	3.155094562e-7	9.457472406e-7	-7.107338997e-9	1.336364207e-6
14.5	8.252000836e-7	1.638688944e-7	9.89068978e-7	-1.073961976e-7	1.527263739e-6
14.75	6.766542214e-7	3.597257269e-7	1.036379948e-6	1.407327413e-7	1.271769248e-6
15.0	8.763414975e-7	2.031542186e-7	1.079495716e-6	3.934705905e-8	1.463803785e-6
15.25	7.323729417e-7	3.942541179e-7	1.12662706e-6	2.85961235e-7	1.210019356e-6
15.5	9.314573379e-7	2.381424463e-7	1.169599784e-6	1.838347373e-7	1.402815394e-6
15.75	7.863650063e-7	4.302209167e-7	1.216585923e-6	4.293895534e-7	1.150198583e-6
16.0	9.818374992e-7	2.776219032e-7	1.259459402e-6	3.267620853e-7	1.343506459e-6
16.25	8.345846302e-7	4.717994217e-7	1.306384052e-6	5.716510237e-7	1.09166431e-6
16.5	1.027649846e-6	3.215402816e-7	1.349190127e-6	4.686826744e-7	1.285321039e-6
16.75	8.797429607e-7	5.16313382e-7	1.396056343e-6	7.13083495e-7	1.034027249e-6
17.0	1.072237258e-6	3.665787439e-7	1.438816001e-6	6.098820698e-7	1.227922438e-6
17.25	9.24815775e-7	5.608260729e-7	1.485641848e-6	8.539454323e-7	9.770069172e-7
17.5	1.117473654e-6	4.108957363e-7	1.528369391e-6	7.505845443e-7	1.171065142e-6
17.75	9.70537894e-7	6.04629396e-7	1.57516729e-6	9.944144233e-7	9.204104428e-7
18.0	1.163165476e-6	4.54707049e-7	1.617872525e-6	8.909441502e-7	1.114580506e-6
18.25	1.016284354e-6	6.483666466e-7	1.664651e-6	1.134612198e-6	8.641056376e-7
18.5	1.20861341e-6	4.987272723e-7	1.707340682e-6	1.031066861e-6	1.058352495e-6
18.75	1.06157933e-6	6.925262434e-7	1.754105574e-6	1.274622187e-6	8.080019457e-7
19.0	1.25362378e-6	5.431605791e-7	1.796784359e-6	1.171025518e-6	1.002301346e-6
19.25	1.106498618e-6	7.370410533e-7	1.843539672e-6	1.414501698e-6	7.520371787e-7
