# (1)t	# (2) P[2<--1](t)	# (3) P[2<--2](t)
0.0	0.0	0.0
4.0	0.01735855289	-6.174386806e-5
8.0	0.06577828834	-0.0003494947352
12.0	0.1363580282	-0.001038116698
16.0	0.218955175	-0.002237587042
20.0	0.3045968405	-0.003992989752
24.0	0.3860970604	-0.006295382033
28.0	0.4582189756	-0.009094782064
32.0	0.5176271351	-0.01231322976
36.0	0.5627071688	-0.01585702599
40.0	0.5933043336	-0.01962746513
44.0	0.610409776	-0.02352953816
48.0	0.6158290553	-0.02747841123
52.0	0.6118631494	-0.03140368916
56.0	0.601022291	-0.03525162062
60.0	0.5857869855	-0.03898553435
64.0	0.5684243265	-0.04258487894
68.0	0.55086199	-0.04604320386
72.0	0.534615767	-0.04936553029
76.0	0.5207643506	-0.05256544982
80.0	0.5099618525	-0.05566220527
84.0	0.5024844641	-0.05867789897
88.0	0.4982933999	-0.06163516507
92.0	0.4971016055	-0.06455540962
96.0	0.498457971	-0.06745734057
100.0	0.5018148047	-0.07035615608
104.0	0.5065928479	-0.07326317863
108.0	0.5122321974	-0.07618581615
112.0	0.5182269915	-0.079127898
116.0	0.524159815	-0.08209015445
120.0	0.529710687	-0.08507086472
124.0	0.5346596597	-0.08806653696
128.0	0.5388811929	-0.09107257132
132.0	0.5423334899	-0.09408386065
136.0	0.5450413132	-0.09709529288
140.0	0.5470794723	-0.1001021446
144.0	0.5485579703	-0.1031003613
148.0	0.5496042945	-0.1060867143
152.0	0.5503498652	-0.1090588664
156.0	0.550919734	-0.1120153598
160.0	0.5514239916	-0.1149555282
164.0	0.5519527582	-0.1178793762
168.0	0.5525738251	-0.1207874301
172.0	0.5533323684	-0.123680586
176.0	0.5542525801	-0.1265599637
180.0	0.5553405002	-0.1294267619
184.0	0.5565875496	-0.1322821627
188.0	0.5579744462	-0.1351272488
192.0	0.5594753225	-0.1379629314
196.0	0.5610607946	-0.1407899328
200.0	0.5627009708	-0.1436087756
204.0	0.5643683798	-0.1464197839
208.0	0.5660394036	-0.1492231105
212.0	0.567694951	-0.152018765
216.0	0.5693208657	-0.1548066458
220.0	0.5709079023	-0.1575865745
224.0	0.5724513467	-0.1603583273
228.0	0.5739503841	-0.1631216641
232.0	0.5754073162	-0.1658763517
236.0	0.5768267172	-0.1686221817
240.0	0.5782146054	-0.1713589829
244.0	0.5795776877	-0.174086628
248.0	0.5809227157	-0.1768050354
252.0	0.5822559791	-0.179514168
256.0	0.5835829414	-0.1822140282
260.0	0.5849080168	-0.1849046513
264.0	0.5862344712	-0.187586098
268.0	0.5875644309	-0.1902584465
272.0	0.5888989724	-0.192921785
276.0	0.590238271	-0.1955762056
280.0	0.5915817837	-0.1982217979
284.0	0.5929284455	-0.2008586459
288.0	0.5942768621	-0.2034868245
292.0	0.5956254853	-0.2061063983
296.0	0.5969727618	-0.208717421
300.0	0.5983172502	-0.2113199361
304.0	0.5996577046	-0.2139139776
308.0	0.6009931257	-0.2164995719
312.0	0.6023227827	-0.2190767395
316.0	0.6036462101	-0.2216454966
320.0	0.6049631862	-0.2242058572
324.0	0.606273698	-0.2267578343
328.0	0.6075778979	-0.2293014415
332.0	0.6088760578	-0.2318366935
336.0	0.6101685241	-0.2343636073
340.0	0.6114556772	-0.2368822018
344.0	0.6127378968	-0.2393924987
348.0	0.6140155347	-0.2418945219
352.0	0.6152888964	-0.2443882972
356.0	0.6165582289	-0.2468738522
360.0	0.6178237161	-0.2493512157
364.0	0.61908548	-0.2518204175
368.0	0.6203435861	-0.2542814874
372.0	0.6215980514	-0.2567344558
376.0	0.6228488551	-0.2591793525
380.0	0.6240959487	-0.2616162069
384.0	0.6253392674	-0.2640450481
388.0	0.6265787387	-0.2664659041
392.0	0.6278142909	-0.2688788026
396.0	0.629045859	-0.2712837706
400.0	0.6302733891	-0.2736808343
404.0	0.6314968414	-0.2760700196
408.0	0.6327161903	-0.278451352
412.0	0.6339314251	-0.2808248567
416.0	0.6351425477	-0.2831905586
420.0	0.6363495715	-0.2855484826
424.0	0.6375525182	-0.2878986535
428.0	0.638751416	-0.2902410962
432.0	0.6399462963	-0.2925758354
436.0	0.6411371924	-0.2949028962
440.0	0.642324137	-0.2972223033
444.0	0.6435071613	-0.299534082
448.0	0.6446862935	-0.3018382571
452.0	0.6458615585	-0.3041348537
456.0	0.647032978	-0.3064238969
460.0	0.64820057	-0.3087054117
464.0	0.6493643495	-0.3109794229
468.0	0.6505243289	-0.3132459555
472.0	0.6516805186	-0.3155050342
476.0	0.6528329275	-0.3177566837
480.0	0.6539815638	-0.3200009286
484.0	0.6551264351	-0.3222377932
488.0	0.6562675493	-0.324467302
492.0	0.6574049145	-0.3266894792
496.0	0.6585385396	-0.3289043489
500.0	0.6596684339	-0.331111935
504.0	0.6607946079	-0.3333122616
508.0	0.6619170724	-0.3355053525
512.0	0.6630358393	-0.3376912314
516.0	0.6641509208	-0.3398699219
520.0	0.6652623294	-0.3420414478
524.0	0.6663700782	-0.3442058325
528.0	0.6674741801	-0.3463630995
532.0	0.6685746484	-0.3485132721
536.0	0.6696714959	-0.3506563737
540.0	0.6707647356	-0.3527924275
544.0	0.6718543801	-0.3549214567
548.0	0.672940442	-0.3570434844
552.0	0.6740229333	-0.3591585336
556.0	0.6751018663	-0.3612666273
560.0	0.6761772526	-0.3633677884
564.0	0.6772491039	-0.3654620397
568.0	0.6783174317	-0.3675494039
572.0	0.6793822473	-0.3696299036
576.0	0.6804435621	-0.3717035615
580.0	0.6815013874	-0.3737704001
584.0	0.6825557344	-0.3758304417
588.0	0.6836066142	-0.3778837088
592.0	0.6846540381	-0.3799302236
596.0	0.6856980173	-0.3819700083
600.0	0.6867385631	-0.384003085
604.0	0.6877756866	-0.3860294759
608.0	0.6888093991	-0.3880492029
612.0	0.6898397119	-0.3900622879
616.0	0.6908666361	-0.3920687527
620.0	0.691890183	-0.3940686191
624.0	0.6929103636	-0.3960619089
628.0	0.6939271892	-0.3980486435
632.0	0.6949406708	-0.4000288447
636.0	0.6959508194	-0.4020025339
640.0	0.6969576461	-0.4039697325
644.0	0.6979611619	-0.4059304618
648.0	0.6989613776	-0.4078847431
652.0	0.6999583041	-0.4098325976
656.0	0.7009519522	-0.4117740465
660.0	0.7019423328	-0.4137091108
664.0	0.7029294564	-0.4156378116
668.0	0.703913334	-0.4175601697
672.0	0.704893976	-0.4194762059
676.0	0.7058713931	-0.4213859412
680.0	0.706845596	-0.4232893962
684.0	0.7078165952	-0.4251865916
688.0	0.7087844011	-0.4270775479
692.0	0.7097490244	-0.4289622857
696.0	0.7107104754	-0.4308408255
700.0	0.7116687646	-0.4327131875
704.0	0.7126239024	-0.4345793921
708.0	0.7135758992	-0.4364394597
712.0	0.7145247652	-0.4382934102
716.0	0.7154705108	-0.440141264
720.0	0.7164131463	-0.4419830409
724.0	0.7173526818	-0.4438187611
728.0	0.7182891276	-0.4456484443
732.0	0.7192224938	-0.4474721106
736.0	0.7201527907	-0.4492897796
740.0	0.7210800281	-0.4511014711
744.0	0.7220042163	-0.4529072047
748.0	0.7229253653	-0.4547070001
752.0	0.723843485	-0.4565008767
756.0	0.7247585854	-0.458288854
760.0	0.7256706765	-0.4600709515
764.0	0.726579768	-0.4618471884
768.0	0.72748587	-0.4636175841
772.0	0.7283889922	-0.4653821577
776.0	0.7292891445	-0.4671409284
780.0	0.7301863365	-0.4688939153
784.0	0.7310805781	-0.4706411373
788.0	0.7319718789	-0.4723826135
792.0	0.7328602486	-0.4741183628
796.0	0.7337456968	-0.4758484039
800.0	0.7346282332	-0.4775727557
804.0	0.7355078673	-0.4792914369
808.0	0.7363846087	-0.481004466
812.0	0.7372584668	-0.4827118618
816.0	0.7381294512	-0.4844136426
820.0	0.7389975713	-0.4861098271
824.0	0.7398628366	-0.4878004336
828.0	0.7407252564	-0.4894854804
832.0	0.74158484	-0.4911649858
836.0	0.7424415969	-0.492838968
840.0	0.7432955363	-0.4945074453
844.0	0.7441466674	-0.4961704356
848.0	0.7449949995	-0.4978279572
852.0	0.7458405419	-0.4994800278
856.0	0.7466833036	-0.5011266655
