# (1)t	# (2) P[2<--1](t)	# (3) P[2<--2](t)
528.0	-1.314318575e-11	-5.580389645e-13
532.0	-1.327424422e-11	-5.612392843e-13
536.0	-1.340490154e-11	-5.643858173e-13
540.0	-1.353516442e-11	-5.674785633e-13
544.0	-1.366501493e-11	-5.705175225e-13
548.0	-1.379444411e-11	-5.735026948e-13
552.0	-1.392347213e-11	-5.764340802e-13
556.0	-1.405209899e-11	-5.793116787e-13
560.0	-1.418031349e-11	-5.821354903e-13
564.0	-1.430812682e-11	-5.849055151e-13
568.0	-1.4435539e-11	-5.876217529e-13
572.0	-1.456256121e-11	-5.902842039e-13
576.0	-1.468919124e-11	-5.92892868e-13
580.0	-1.481542234e-11	-5.954477452e-13
584.0	-1.494127021e-11	-5.979488355e-13
588.0	-1.506673485e-11	-6.004051033e-13
592.0	-1.519182522e-11	-6.028165488e-13
596.0	-1.531653461e-11	-6.051742074e-13
600.0	-1.544084955e-11	-6.074780791e-13
604.0	-1.556476782e-11	-6.09728164e-13
608.0	-1.568828941e-11	-6.119334264e-13
612.0	-1.581142552e-11	-6.140938664e-13
616.0	-1.593417393e-11	-6.162005195e-13
620.0	-1.605653686e-11	-6.182623502e-13
624.0	-1.617851431e-11	-6.202793585e-13
628.0	-1.630010854e-11	-6.222425799e-13
632.0	-1.642133074e-11	-6.241609789e-13
636.0	-1.654218091e-11	-6.260345555e-13
640.0	-1.666265682e-11	-6.278543453e-13
644.0	-1.678275621e-11	-6.296293126e-13
648.0	-1.69024791e-11	-6.313594575e-13
652.0	-1.702181876e-11	-6.330358155e-13
656.0	-1.714078863e-11	-6.346673511e-13
660.0	-1.725939993e-11	-6.362540643e-13
664.0	-1.737764592e-11	-6.377959551e-13
668.0	-1.749552885e-11	-6.392930235e-13
672.0	-1.761304424e-11	-6.407452695e-13
676.0	-1.77301876e-11	-6.42152693e-13
680.0	-1.784697238e-11	-6.435152942e-13
684.0	-1.79633941e-11	-6.44833073e-13
688.0	-1.807944603e-11	-6.461060293e-13
692.0	-1.819514163e-11	-6.473431277e-13
696.0	-1.831048537e-11	-6.485354038e-13
700.0	-1.842545708e-11	-6.496828574e-13
704.0	-1.854003884e-11	-6.507854886e-13
708.0	-1.865423961e-11	-6.518432974e-13
712.0	-1.876809076e-11	-6.528652482e-13
716.0	-1.888161696e-11	-6.538423767e-13
720.0	-1.899479577e-11	-6.547746828e-13
724.0	-1.910761377e-11	-6.556711309e-13
728.0	-1.922007991e-11	-6.565317211e-13
732.0	-1.933220317e-11	-6.573474889e-13
736.0	-1.94439768e-11	-6.581184343e-13
740.0	-1.95554053e-11	-6.588535218e-13
744.0	-1.96664954e-11	-6.595527513e-13
748.0	-1.977722243e-11	-6.602071585e-13
