# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
17.75	0.1341790345	0.8657320018	0.9999110363	0.9491701707	0.1206530884
18.0	0.1363282406	0.8635789571	0.9999071977	0.9492002483	0.1205850493
18.25	0.1374389398	0.8624646407	0.9999035805	0.9493985418	0.1201958921
18.5	0.1370303844	0.8628697993	0.9999001837	0.9499315593	0.1191654369
18.75	0.1353365943	0.8645604539	0.9998970482	0.9507854977	0.1175154824
19.0	0.1331295533	0.8667643263	0.9998938796	0.9517955287	0.1155566596
19.25	0.1313287129	0.8685617296	0.9998904424	0.9527307088	0.1137329361
19.5	0.1305871955	0.8692993344	0.9998865299	0.9533983045	0.1124217071
19.75	0.1310368285	0.8688451964	0.9998820249	0.9537257783	0.1117695498
20.0	0.1322870742	0.8675903519	0.9998774261	0.9537788488	0.1116527659
20.25	0.1336452657	0.8662280249	0.9998732907	0.9537325959	0.1117314228
20.5	0.1344512736	0.8654185439	0.9998698175	0.9537702666	0.1116479266
20.75	0.1343580847	0.8655088589	0.9998669436	0.9540065362	0.1111776126
21.0	0.1334478213	0.866416693	0.9998645143	0.9544488319	0.1103040503
21.25	0.1321502552	0.8677119367	0.9998621919	0.9550085277	0.1091979023
21.5	0.1310201289	0.8688394166	0.9998595455	0.955546665	0.1081301294
21.75	0.1304853386	0.8693711672	0.9998565058	0.9559380793	0.1073483632
22.0	0.1306744573	0.8691789026	0.9998533599	0.9561248638	0.1069698223
22.25	0.1313942409	0.8684564815	0.9998507224	0.9561383809	0.1069354435
22.5	0.1322400417	0.8676068829	0.9998469246	0.9560810666	0.1070378806
22.75	0.1328015288	0.8670417285	0.9998432573	0.956063841	0.1070613609
23.0	0.1328358505	0.8670040316	0.999839882	0.9561645873	0.1068522124
23.25	0.1323547886	0.8674818527	0.9998366413	0.9563966947	0.1063830438
23.5	0.131592864	0.8682405094	0.9998333734	0.9567115876	0.1057488604
23.75	0.130882924	0.868947	0.999829924	0.9570258691	0.1051142705
24.0	0.1305019975	0.8693242512	0.9998262487	0.9572608926	0.1046358
24.25	0.1305577146	0.8692648523	0.9998225669	0.9573763236	0.1043950882
24.5	0.1309605423	0.8688588689	0.9998194112	0.957382993	0.1043725786
24.75	0.1314839076	0.868333108	0.9998170157	0.9573301418	0.1044709014
25.0	0.1318667459	0.8679464401	0.999813186	0.9572957208	0.1045282981
