# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
14.25	-2.227114473e-15	-3.735796736e-15	-5.962911209e-15	-7.170418852e-15	-1.929567065e-15
14.5	-4.762731534e-15	-1.277710832e-15	-6.040442366e-15	-6.837580318e-15	-2.840735536e-15
14.75	-6.969559092e-15	-8.689526051999999e-16	-7.838511698e-15	-6.2396702570000005e-15	-8.615053195e-15
15.0	-6.5260600260000005e-15	-1.343253278e-15	-7.869313305e-15	-5.991557254e-15	-9.293534012000001e-15
15.25	-5.038467509e-15	-2.486412846e-15	-7.524880355e-15	-6.128804657e-15	-8.23050525e-15
15.5	-2.980585404e-15	-5.279094649e-15	-8.259680053e-15	-7.727540159e-15	-7.221928853e-15
15.75	-1.124612966e-15	-7.561963379e-15	-8.686576344e-15	-9.943762624e-15	-4.272848311e-15
16.0	-1.682965248e-15	-7.454095394e-15	-9.137060642e-15	-9.701604782e-15	-5.933797692e-15
16.25	-5.972567525e-15	-3.740527841e-15	-9.713095366e-15	-3.726102356e-15	-1.860412639e-14
16.5	-3.0477300170000005e-14	2.2069701450000003e-14	-8.407598713e-15	4.4125021150000005e-14	-1.04662488e-13
16.75	-1.408492936e-13	1.506451937e-13	9.795900044000001e-15	3.029742784e-13	-5.435699842e-13
17.0	-7.254348046000001e-14	7.070885011e-14	-1.83463035e-15	2.018120638e-13	-3.873319456e-13
17.25	-3.071876305e-14	3.0268996350000006e-14	-4.497666976e-16	1.5689179e-13	-3.000347222e-13
17.5	-1.6684210930000002e-14	1.711356724e-14	4.2935630419999995e-16	1.355563422e-13	-2.576827962e-13
17.75	-2.3899479530000002e-14	2.319205461e-14	-7.074249256999999e-16	1.225749598e-13	-2.361961605e-13
18.0	-4.4069288590000005e-14	4.371318653e-14	-3.5610205939999997e-16	1.16741978e-13	-2.241227626e-13
18.25	-6.606777077000001e-14	6.491528876000001e-14	-1.152482003e-15	1.137547937e-13	-2.208157017e-13
18.5	-7.681042542e-14	7.524315540000001e-14	-1.567270026e-15	1.101819432e-13	-2.156698022e-13
18.75	-7.157401128e-14	7.051016083e-14	-1.063850448e-15	1.042483238e-13	-2.037244805e-13
19.0	-5.183642568e-14	5.045571361000001e-14	-1.380712069e-15	9.201007296e-14	-1.819379333e-13
19.25	-2.5837740110000002e-14	2.5596666480000003e-14	-2.4107362459999997e-16	8.048846882e-14	-1.571696515e-13
19.5	-5.951006833e-15	4.853513284e-15	-1.09749355e-15	6.973352636000001e-14	-1.391475627e-13
19.75	2.341244698e-15	-3.411719305e-15	-1.070474607e-15	6.280267027000001e-14	-1.257628462e-13
